STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-04-04,86.4,6.33,8,23,40,6.37,0.25,31.81,70,0.03,38.5,46,86,0.88,8.6,0.02,0.002,0.0004,<0.001,<0.001,<0.01,0.06,4.1,0.42,3.7,0.9,4.5,<1,<0.05,1850,46000,95,69,71,74,76,96,80,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-05-04,84.5,6.62,1,3,77,6.39,0.31,27.99,77,0.03,134.2,47,124,4.18,9.0,0.02,0.002,<0.0002,<0.001,<0.001,<0.01,0.08,4.1,0.61,3.9,0.9,5.4,<1,<0.05,3600,17250,93,96,95,70,62,96,86,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-06-05,84.2,6.26,6,17,64,7.38,0.20,30.93,74,0.03,92.3,41,105,1.10,7.7,0.03,0.002,<0.0002,<0.001,0.001,<0.01,0.05,3.2,0.97,4.1,0.8,5.1,<1,<0.05,2100,4950,93,77,77,79,66,98,82,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-07-07,89.2,6.57,6,22,10,7.56,0.73,31.51,114,0.05,12.4,61,71,2.59,11.1,0.36,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,2.2,0.60,4.7,0.6,9.4,<1,<0.05,4500,42000,96,77,72,55,92,96,82,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-08-01,108.6,8.22,9,33,5,7.34,0.48,29.90,115,0.05,11.5,63,68,2.28,13.0,0.15,0.003,<0.0002,<0.001,<0.001,<0.01,0.05,4.1,0.99,5.3,0.9,10.9,<1,<0.05,6200,35000,100,65,60,64,95,98,80,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-09-04,85.3,6.55,3,10,35,6.99,0.30,29.02,89,0.04,77.2,48,83,0.66,10.5,0.06,0.003,<0.0002,<0.001,0.002,<0.01,0.06,1.9,1.19,5.2,0.8,4.9,<1,<0.05,3000,97000,94,88,86,71,79,100,86,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2013-10-03,101.6,7.76,3,10,11,7.43,0.48,29.41,108,0.05,22.3,65,76,2.23,11.0,0.13,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,1.4,0.86,4.2,0.3,8.6,<1,<0.05,9100,225000,100,88,86,64,91,97,88,II
N.SEMBILAN,LANGAT,02 46 658,101 45 123,19,1L25,JIJAN,2013-11-08,81.5,6.32,4,15,16,6.70,0.24,28.52,94,0.04,38.7,49,65,1.17,10.8,0.05,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,2.9,0.65,5.0,1.0,5.0,<1,<0.05,2450,33000,91,83,79,75,88,98,86,II
N.SEMBILAN,LANGAT,02 47 231,101 45 046,19,1L25,JIJAN,2013-12-11,77.3,6.37,4,14,41,7.14,0.36,29.40,90,0.04,78.8,58,99,0.76,11.0,0.03,0.001,<0.0002,<0.001,<0.001,<0.01,0.04,2.6,0.37,6.2,0.7,5.4,<1,<0.05,2150,41500,86,83,81,68,76,99,82,II
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2014-01-10,84.0,6.89,4,14,34,6.83,0.37,25.37,84,0.04,67.1,42,76,0.81,5.0,0.02,0.001,<0.0002,<0.001,<0.001,<0.01,0.05,1.2,0.36,4.3,1.0,3.9,<1,<0.05,1100,25000,93,83,80,68,79,99,83.9,II
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2014-02-06,93.3,6.94,3,13,5,7.89,0.70,30.97,93,0.04,11.4,48,53,1.71,11.5,0.08,0.001,<0.0002,<0.001,<0.001,<0.01,0.10,2.8,0.28,3.0,0.9,7.0,<1,<0.05,1250,33500,100,88,81,57,95,93,86.4,II
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2014-04-06,94.9,7.60,4,14,99,7.17,0.24,26.50,82,0.04,205.4,56,155,0.21,10.1,0.06,0.002,<0.0002,<0.001,0.0012,<0.01,0.07,6.4,1.18,5.4,1.0,4.5,<1,<0.05,6550,78000,100,83,80,75,55,99,82.7,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2014-07-04,82.0,6.09,7,17,24,7.52,1.32,30.94,125,0.06,45.6,64,88,1.94,6.2,0.14,0.001,<0.0002,<0.001,<0.001,<0.01,<0.01,6.8,0.48,5.6,1.0,8.6,<1,<0.05,9000,130000,91,73,76,41,84,97,77.2,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2014-10-09,84.5,6.64,5,15,10,6.41,0.96,27.77,96,0.04,21.4,53,63,0.57,13.4,0.18,0.002,<0.0002,<0.001,<0.001,<0.01,0.01,6.5,0.64,4.8,0.9,6.2,<1,<0.05,6200,202000,93,79,80,49,92,96,81.9,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2015-02-04,88.9,6.55,2,8,2,6.62,0.78,31.47,90,0.04,4.4,47.6,49.6,1.163,4,0.041,<0.001,<0.0002,<0.001,<0.001,<0.01,<0.01,4.69647,0.2502137,4.07401162,0.94885,3.87425,<1,<0.05,60000,460000,96.1822262,91.94,88.992,54.05019357,96.29067101,97.901252,88.1295964,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2015-05-08,86.8,6.62,4,11,41,7.49,0.22,29.75,80,0.04,97.7,43,84,1.639,13.236,0.012,0.001273634,<0.0002,<0.001,<0.001,<0.01,0.018016787,5.40532,0.467873,2.94063091,1.08797,3.49689403,<1,<0.05,7100,96000,94.8377936,83.48,84.47,77.715,75.94848876,96.770395,85.66217019,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2015-08-05,89.0,6.53,7,20,7,8.14,0.61,31.66,121,0.06,6.6,62,69,2.383,15.937,0.167,0.00201,<0.0002,<0.001,<0.001,<0.01,0.1106,6.810466915,0.423965714,3.484884752,1.127540114,9.576782356,<1,0.05536,1600,126000,96.2412,72.78866871,72.5,59.22299747,93.3437585,88.86542,81.08521244,II
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L25,JIJAN,2015-11-04,89.7,6.84,9,30,26,7.72,0.12,29.45,95,0.04,53.5,49.1,75.1,1.035,13.315,0.048,0.007365884,<0.0002,<0.001,0.001926991,<0.01,0.053465956,<0.1,0.218827443,4.53701364,0.753684294,4.01358429,<1,<0.05,1700,34000,96.6408454,64.93365799,63.11089058,87.9,83.08487939,94.55768,81.5216258,II
