SMP-DAT,,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml)
2017,,5.34,5.666666667,21.33333333,189.3333333,7.236666667,0.533333333,30.00666667,130.3333333,0.06,110.23,68.33333333,257.6666667,4.443333333,10,0.256666667,0.007333333,0.001,0.001,0.001,0.004666667,0.014333333,4.733333333,1.216666667,4.2,0.8,13.23333333,1,0.05,5000,144333.3333
2018,,6.685166667,4.5,17,122.1666667,7.356833333,0.466666667,29.54783333,136.9591667,0.063,95.67966667,70.33333333,192.5,5.76,8,0.21,0.008666667,0.001,0.001,0.001,0.0055,0.0172,4.4,0.841666667,4.666666667,0.583333333,12.93333333,1,0.05,8416.666667,47133.33333
2019,,7.589285829,4.584223799,17.27540538,147.7277719,7.138515267,0.410669434,29.35047321,109.6121513,0.050697738,123.3581869,56.47137309,225.5359071,4.12063971,7.169163392,0.314300407,0.007911801,0.001,0.001,0.001,0.007198714,0.021706449,6.458390087,0.775168724,5.031514726,0.880243527,7.293272535,1,0.05,17872.1762,32215.01255
2020,,9.156318962,4.618294333,17.99395133,136.6189209,7.036079797,0.298583545,28.92334537,115.6304993,0.053847277,131.1365552,59.20097306,210.031808,5.086498158,5.883503646,0.333057595,0.009141306,0.001,0.001,0.001,0.008855765,0.026486381,6.94508082,0.645417812,5.378829529,0.713570082,5.967307145,1,0.05,27755.24473,32895.40163
2021,,10.72049255,4.652302693,18.71118606,125.5303415,6.933831253,0.186702193,28.49699695,121.6378649,0.056991068,138.9007294,61.925592,194.5560011,6.050594091,4.600189993,0.351780554,0.010368568,0.001,0.001,0.001,0.010509792,0.03125759,7.430883431,0.51590367,5.725510547,0.547200785,4.643761399,1,0.05,37620.27846,33574.54912
2022,,12.2885501,4.686395499,19.43020175,114.4142282,6.831328817,0.07454303,28.06958987,127.6601473,0.060142665,146.6841828,64.65697639,179.0417665,7.017083954,3.313689767,0.370550004,0.011598877,0.001,0.001,0.001,0.012167926,0.036040647,7.91789233,0.386067935,6.073052402,0.38041838,3.316929179,1,0.05,47509.80789,34255.383
2023,,13.85666202,4.720489488,20.14924236,103.2977295,6.728822828,-0.037620022,27.64216798,133.6826384,0.063294372,154.4679059,67.38845548,163.526994,7.983607323,2.02714494,0.389320104,0.012829229,0.001,0.001,0.001,0.013826118,0.040823869,8.404918113,0.256227698,6.420606306,0.213630193,1.99005096,1,0.05,57399.68016,34936.24047
