STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,03 10 044,101 51 034,19,1L07,LANGAT,05-Aug-16,91.8,7.24,11,43,11,7.09,0.07,27.69,48,0.02,5.7,24,35,0.4,1,<0.01,0.003,<0.0002,<0.001,<0.001,<0.01,0.05,3.3,1.1,2.6,1,3.3,<1,<0.05,21000,166000,97.6980736,57.87603808,50.71786727,93.15,91.06289964,99.093995,81.03872553,II
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,05-Aug-16,62.3,4.83,24,80,47,7.64,4.11,28.53,257,0.11,39.6,184,231,0.1,17,0.11,0.011,<0.0002,<0.001,<0.001,<0.01,0.06,27.7,0.66,6.7,1.6,20.6,<1,<0.05,76000,740000,67.6828266,26.45061261,26.13346423,0,73.31113821,95.39992,47.27496504,IV
SELANGOR,LANGAT,03 06 677,101 49 009,19,1L16,LANGAT,05-Aug-16,98.1,7.73,5,20,10,7.54,0.10,27.74,55,0.02,8.2,27,37,0.43,2,0.02,0.004,<0.0002,<0.001,<0.001,<0.01,0.05,3.8,0.98,2.6,0.8,4.2,<1,<0.05,6100,130000,100,79.25,72.5,90,91.62683962,96.34382,88.37905274,II
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,02-Sep-16,40.0,3.03,8,28,215,7.31,2.71,29.73,1148,0.56,87.4,684,899,3.05,281,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.04,24.4,0.38,15.3,20.6,161,<1,<0.05,2700,16400,34.805,68.75593348,65.24229098,16.34492715,47.10895389,98.055595,52.91533701,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,08-Sep-16,52.3,3.99,13,35,80,7.30,2.60,29.44,503,0.24,54.3,317,397,<0.01,90,0.05,0.003,<0.0002,<0.001,<0.001,<0.01,0.05,19.8,0.13,9.1,7.7,55.3,<1,<0.05,300,7400,53.0525666,51.53274807,58.05555081,18.18926705,60.77251842,98.1155,54.97752792,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,08-Sep-16,68.7,5.41,8,27,280,7.72,2.17,27.81,168,0.08,135.4,290,570,0.39,139,0.08,0.005,0.0005,<0.001,<0.001,<0.01,0.04,47.2,0.23,7.8,14.3,77.7,<1,<0.05,900,6600,76.3471594,68.75593348,66.33240074,26.25951524,41.16223257,94.55768,62.34499264,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,02-Sep-16,74.9,6.01,18,45,296,7.76,0.74,26.69,140,0.06,150.5,70,366,1.14,7,0.03,0.004,0.0005,<0.001,<0.001,<0.01,0.05,14.8,0.37,5.2,1,7.8,<1,<0.05,34000,1320000,83.8673502,38.33028263,49.0169006,55.21461459,39.77569767,94.10752,59.51548106,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,02-Sep-16,72.1,5.77,9,27,94,7.46,0.55,26.57,142,0.06,160.4,70,692,1.22,7,0.02,0.003,0.0008,<0.001,<0.001,<0.01,0.05,15.4,0.27,5.1,1,7.8,<1,<0.05,12200,216000,80.5962278,64.93365799,66.33240074,61.33986493,56.34598088,97.01182,70.53950433,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,06-Oct-16,26.3,1.96,15,49,127,6.67,2.49,30.38,432,0.2,48.8,261,388,0.72,43,<0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.02,22.8,0.16,9.8,7.7,39.4,<1,<0.05,1000,15200,16.7174106,45.82937919,45.76374097,20.11781514,56.03916515,98.244037,43.48083407,IV
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,06-Oct-16,54.2,4.05,9,29,79,6.98,4.45,29.83,274,0.13,20.9,180,259,0.9,18,0.04,0.007,0.0003,<0.001,<0.001,<0.01,0.03,22.3,0.07,7.3,1.9,20.4,<1,<0.05,5600,26900,55.8901824,64.93365799,64.1685392,0,61.10760076,99.624932,56.63240938,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,06-Oct-16,33.9,2.55,12,42,115,7.28,3.19,30.27,278,0.13,53.9,177,292,<0.01,16,0.08,0.012,<0.0002,<0.001,<0.001,<0.01,0.04,26.6,0.8,7.4,1.8,18.9,<1,<0.05,159000,1270000,26.2896562,54.61994413,51.58763845,9.161027605,57.34244207,98.23168,46.75228237,IV
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,06-Oct-16,66.6,4.93,6,22,190,7.37,2.38,30.85,174,0.08,68.2,91,281,0.82,10,0.09,0.008,<0.0002,<0.001,0.003,<0.01,0.03,13.6,0.7,6.1,1.5,12.8,<1,<0.05,63000,265000,73.5901408,77.04376321,72.03752356,22.13604989,49.53812152,97.670755,65.32114728,III
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,04-Nov-16,65.1,4.63,12,43,243,6.29,0.48,29.15,23805,14.34,77.9,18200,18443,0.3,8370,<0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,196,<0.10,207,592,4740,<1,<0.05,5100,1080000,71.5664098,54.61994413,50.71786727,63.79692365,44.48375796,94.802453,62.30049248,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L02,LANGAT,04-Nov-16,57.0,4.31,6,19,96,5.62,2.81,28.21,766,0.37,27.2,528,624,1.46,151,<0.01,0.001,0.0004,<0.001,<0.001,<0.01,0.06,19.6,0.18,9.6,16,81.8,<1,<0.05,0,1800,60.0364,77.04376321,73.83,14.73699326,55.75242621,84.042052,60.87510643,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,04-Nov-16,75.2,5.85,5,14,338,7.23,1.37,27.85,166,0.88,159,102,440,0.94,16,0.09,0.006,<0.0002,<0.001,<0.001,<0.01,0.04,37.2,0.4,4.7,5.6,18,<1,<0.05,2400,174000,84.2043984,79.25,80.48,39.72482322,36.27203905,98.500955,70.04163198,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,04-Nov-16,57.0,4.40,10,26,76,7.93,1.23,28.19,203,0.09,88.4,103,179,0.19,10,0.04,0.007,<0.0002,<0.001,<0.001,<0.01,0.05,18.3,0.29,4,1.1,10.4,<1,<0.05,263000,1950000,60.0364,61.31057952,67.43912732,42.60596071,62.1285906,91.978355,63.01614968,III
SELANGOR,LANGAT,03 10 044,101 51 034,19,1L07,LANGAT,04-Nov-16,91.6,7.31,4,7,16,7.59,0.04,26.56,49,0.02,6.6,25,41,0.69,1,0.03,0.003,<0.0002,<0.001,<0.001,<0.01,0.03,2.4,0.36,2.2,0.6,2.8,<1,<0.05,1900,22400,97.6067408,83.48,89.79,96.3,88.30468878,95.886995,91.78127258,II
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,04-Nov-16,56.6,6.82,8,17,490,7.95,1.21,27.5,134,0.06,253,64,554,1.43,6,0.07,0.009,<0.0002,<0.001,<0.001,<0.01,0.04,25.2,0.72,3.4,3.2,10.2,<1,<0.05,8100,166000,59.4475008,68.75593348,76.49,43.04140827,25.06689952,91.704875,59.8519777,III
SELANGOR,LANGAT,03 06 677,101 49 009,19,1L16,LANGAT,04-Nov-16,91.0,7.16,3,8,81,7.89,0.18,27.45,66,0.03,29.2,33,114,0.68,3,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.02,3.6,0.56,2.1,0.6,3.8,<1,<0.05,2500,22700,97.3208,87.71,88.46,81.6,60.44003046,92.510795,85.24077627,II
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L02,LANGAT,09-Dec-16,55.8,4.23,8,35,2,6.11,1.87,29.76,325,0.15,2.5,205,207,1.09,18,<0.01,0.001,<0.0002,<0.001,<0.001,<0.01,0.08,17.4,0.05,7.2,8,17,<1,<0.05,600,8000,58.2659776,68.75593348,58.05555081,31.54415075,96.29067101,92.499893,66.4091477,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,08-Dec-16,86.5,6.60,6,18,92,7.55,1.58,29.13,178,0.08,94.2,90,182,0.42,10,0.01,0.004,<0.0002,<0.001,<0.001,<0.01,0.03,14.8,0.1,4.8,1.4,11.5,<1,<0.05,2300,152000,94.629575,77.04376321,75.16,35.91401024,56.94897608,96.254875,73.53194422,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,09-Dec-16,42.3,3.37,18,46,204,7.62,1.09,26.95,139,0.06,76.6,76,280,0.38,7,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.06,14.9,0.08,3.6,0.9,7.2,<1,<0.05,8800,1160000,38.1463066,38.33028263,48.18530554,45.7862142,48.16767314,95.59838,49.43115547,IV
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,09-Dec-16,85.8,6.75,12,34,229,7.78,1.00,27.62,133,0.06,139.1,70,299,0.62,8,0.06,0.004,<0.0002,<0.001,<0.001,<0.01,0.04,10.3,0.13,3.4,1,7.2,<1,<0.05,6200,760000,94.1284576,54.61994413,59.03636906,48.00015204,45.78400734,93.87518,66.32235469,III
SELANGOR,LANGAT,02 52 556,101 27 114,19,,LANGAT,04-Jan-17,67.9,4.87,8,21,132,6.91,0.50,29.34,19853,11.76,27.4,14400,14532,0.16,6270,0.02,0.001,0.0002,<0.001,<0.001,<0.01,0.05,165,0.02,160,434,5390,<1,<0.05,NA,NA,75.3079322,68.75593348,73.23136262,63.08338538,55.50246111,99.425173,71.62231281,III
SELANGOR,LANGAT,02 48 923,101 30 783,19,,LANGAT,04-Jan-17,42.8,3.33,10,36,219,7.96,1.28,28.26,272,0.13,143.2,249,468,0.69,100,0.03,0.003,0.0003,<0.001,<0.001,<0.01,0.04,15.6,0.19,8,9.4,63,<1,<0.05,3200,12400,38.8796496,61.31057952,57.08938807,41.5438827,46.72784523,91.56632,54.03283115,III
SELANGOR,LANGAT,02 51 125,101 40 790,19,,LANGAT,04-Jan-17,74.6,5.92,8,21,1170,7.89,0.75,26.87,122,0.16,635,72,1242,0.6,10,0.04,0.008,<0.0002,<0.001,0.002,0.01,0.06,21.9,1.76,4.9,2.2,10.4,<1,<0.05,1400,58000,83.5276128,68.75593348,73.23136262,54.91314378,0,92.510795,62.49498716,III
SELANGOR,LANGAT,02 59 537,101 47 139,19,,LANGAT,04-Jan-17,52.3,3.97,12,35,96,7.61,2.25,29.12,226,0.11,59,145,241,0.13,13,0.04,0.009,<0.0002,<0.001,<0.001,<0.01,0.07,23.1,0.58,5.7,1.5,13.9,<1,<0.05,60000,770000,53.0525666,54.61994413,58.05555081,24.64486748,55.75242621,95.695795,55.43885588,III
SELANGOR,LANGAT,03 02 391,101 46 428,19,,LANGAT,04-Jan-17,83.6,6.49,12,32,290,7.81,2.49,28.45,152,0.07,82.4,79,369,1.26,11,0.04,0.007,<0.0002,<0.001,<0.001,<0.01,0.04,12.2,0.39,4.6,1.1,10.8,<1,<0.05,1600,36000,92.4183888,54.61994413,61.04290335,20.11781514,40.29221237,93.517595,61.1632371,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,,LANGAT,07-Feb-17,60.4,4.62,14,41,47,5.66,1.41,29.26,245,0.11,25.1,159,206,1.76,15,0.02,0.001,<0.0002,<0.001,<0.001,<0.01,0.04,13.6,0.03,6.3,5.3,15.3,<1,<0.05,200,4500,64.9800272,48.60541138,52.47053984,38.95330836,73.31113821,84.852548,59.68100465,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,,LANGAT,07-Feb-17,72.6,5.64,11,46,251,7.03,1.58,28.34,154,0.07,109.8,80,331,1.79,10,0.01,0.003,0.0003,<0.001,<0.001,<0.01,0.05,12.6,0.2,4.4,1.3,10.6,<1,<0.05,10400,91000,81.1963648,57.87603808,48.18530554,35.91401024,43.7516358,99.275555,60.86972624,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,,LANGAT,07-Feb-17,60.9,4.75,13,57,210,7.16,2.26,28.25,172,0.08,78.5,91,301,1.08,10,0.03,0.006,<0.0002,<0.001,<0.001,<0.01,0.05,15.4,0.23,4.5,1.2,10.9,<1,<0.05,44000,112000,65.6959942,51.53274807,39.81079153,24.44691418,47.58824051,98.82712,53.75447751,III
SELANGOR,LANGAT,03 10 044,101 51 034,19,,LANGAT,07-Feb-17,113.1,8.78,5,22,22,7.79,0.03,28.49,39,0.02,3.4,21,43,0.42,1,0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.03,2.3,0.16,2,0.6,3.1,<1,<0.05,1900,40000,100,79.25,72.03752356,97.35,85.12651283,93.757195,88.05710922,II
SELANGOR,LANGAT,03 02 460,101 46 388,19,,LANGAT,07-Feb-17,91.1,7.17,13,47,270,7.26,1.43,27.67,114,0.05,96.4,60,330,1.35,6,0.02,0.004,<0.0002,<0.001,<0.001,<0.01,0.05,9.1,0.22,3.5,0.9,7.8,<1,<0.05,30000,160000,97.3696938,51.53274807,47.36604147,38.57583758,42.04386574,98.34302,63.10567796,III
SELANGOR,LANGAT,03 06 677,101 49 009,19,,LANGAT,07-Feb-17,104.2,8.13,9,38,31,7.52,0.12,28.19,50,0.02,24.9,27,58,0.74,2,0.02,0.003,<0.0002,<0.001,<0.001,<0.01,0.03,3.6,0.28,2.3,0.6,3.7,<1,<0.05,6100,46000,100,64.93365799,55.20011945,87.9,80.6167457,96.51808,80.83526304,II
SELANGOR,LANGAT,02 51 898,101 26 249,19,,LANGAT,03-Mar-17,76.3,5.29,9,30,120,6.90,0.43,29.58,20445,12.4,23.2,15300,15420,0.12,6480,<0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,156,<0.01,156,432,3970,<1,<0.05,100,7500,85.4167106,64.93365799,63.11089058,65.62202946,56.79678766,99.3913,72.08456029,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,,LANGAT,03-Mar-17,32.7,2.44,6,27,81,7.83,1.74,28.31,469,0.22,29.7,288,369,0.91,120,<0.01,<0.001,<0.0002,<0.001,<0.001,<0.01,0.03,16,0.04,8.8,13.1,70.4,<1,<0.05,100,5300,24.6905434,77.04376321,66.33240074,33.38387156,60.44003046,93.273155,56.55418288,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,,LANGAT,03-Mar-17,83.9,6.15,5,19,121,7.97,2.07,27.82,185,0.09,53.7,95,216,1.13,19,0.04,0.004,<0.0002,<0.001,0.001,<0.01,0.04,14,0.28,4.6,2,16,<1,<0.05,2700,96000,92.6633562,79.25,73.83,28.35825702,56.68810777,91.426555,71.55126076,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,,LANGAT,03-Mar-17,59.9,4.44,7,18,138,7.11,2.27,27.76,176,0.08,55.4,92,230,0.99,11,0.06,0.006,<0.0002,<0.001,<0.001,<0.01,0.04,13.9,0.27,4.3,1.2,11.9,<1,<0.05,42000,6100000,64.2609402,72.78866871,75.16,24.24980623,54.86326982,99.023795,64.2913034,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,,LANGAT,03-Mar-17,54.6,3.89,7,21,224,7.88,1.40,27.02,107,0.05,80.4,54,278,0.96,7,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.03,7.3,0.29,3.2,0.8,7.8,<1,<0.05,13000,229000,56.4855328,72.78866871,73.23136262,39.14410354,46.25433862,92.64088,62.3628976,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,,LANGAT,07-Apr-17,76.9,5.80,9,32,180,6.93,1.41,30.29,215,0.1,93.6,146,326,1.62,14,0.03,0.003,<0.0002,<0.001,<0.001,<0.01,0.02,14.4,0.37,5.6,2.8,13.8,<1,<0.05,1200,6400,86.0619782,64.93365799,61.04290335,38.95330836,50.53307305,99.488917,66.90485274,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,,LANGAT,07-Apr-17,85.9,6.63,9,26,263,7.16,1.29,28.59,153,0.07,142.7,83,346,0.78,9,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.02,12.4,0.24,4.1,1.1,10.1,<1,<0.05,500,26000,94.2013442,64.93365799,67.43912732,41.33594794,42.66801887,98.82712,68.73848072,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,,LANGAT,07-Apr-17,64.8,5.01,8,22,172,7.21,1.82,28.15,167,0.08,70.4,90,262,0.76,8,0.06,0.006,<0.0002,<0.001,<0.001,<0.01,0.02,14.8,0.22,4.1,1,10.1,<1,<0.05,4200,33000,71.1566416,68.75593348,72.03752356,32.2298531,51.3388359,98.600195,65.12480739,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,,LANGAT,07-Apr-17,96.2,7.58,5,16,133,7.54,1.14,27.48,103,0.05,77.8,66,199,0.83,5,0.06,0.005,<0.0002,<0.001,<0.001,<0.01,0.02,7.3,0.18,3.1,0.8,6.2,<1,<0.05,5000,58000,100,79.25,77.82,44.61454433,55.39556271,96.34382,76.62543008,II
Selangor,LANGAT,2.815335,101.512831,19,2BLGT027,LANGAT,2017/10/5 08:35,44.6,3.48,4,13,19,5.42,2.67,28.176,321.5,0.15,3.52,234,253,6.35,14,<0.010,0.002,<0.001,<0.001,<0.001,<0.001,0.027,7.5,0.1,7,3.1,11.5,<1.000,<0.050,<1.000,900,41.5364928,83.48,81.81,17.0061847,86.69796706,71.445528,63.08489421,III
Selangor,LANGAT,2.815335,101.512831,19,2BLGT027,LANGAT,2017/8/1 16:39,49.1,3.64,6,12,106,6.96,4.35,31.1,391.9,0.18,56.9,294,400,14.1,53,0.32,0.007,<0.001,<0.001,<0.001,0.003,0.023,7.9,0.24,10.1,2.2,45.6,<1.000,<0.050,<1.000,4400,48.2551458,77.04376321,83.14,0,58.33416685,99.574528,59.83925714,III
Selangor,LANGAT,2.993079,101.785532,19,2BLGT005,LANGAT,2017/8/2 10:45,42.7,3.33,15,25,80,7.16,5.86,28.219,240.8,0.11,63.46,169,249,1.66,14,0.54,0.02,<0.001,<0.001,0.001,0.002,0.038,6.2,0.04,6.1,0.6,17,<1.000,<0.050,440000,9000000,38.7328034,45.82937919,68.56273367,0,60.77251842,98.82712,49.78169353,IV
Selangor,LANGAT,2.993079,101.785532,19,2BLGT005,LANGAT,2017/10/6 13:09,73.1,5.50,4,11,57,7.34,4.32,30.275,202.8,0.09,47.41,102,159,2.97,12,0.41,0.018,<0.001,<0.001,0.01,0.002,0.02,2.1,0.49,5.1,0.2,13.5,<1.000,<0.050,66000,410000,81.7897218,83.48,84.47,0,69.17271037,97.86862,70.18200685,III
Selangor,LANGAT,3.047051,101.776908,19,2BLGT002,LANGAT,2017/10/6 15:37,76.9,5.89,4,16,74,7.29,2.57,29.204,114.9,0.05,44.81,60,134,2.79,7,0.27,0.008,<0.001,<0.001,<0.001,0.001,0.007,4.6,0.53,3.7,0.5,8.4,<1.000,<0.050,45000,166000,86.0619782,83.48,77.82,18.70665924,62.82254821,98.174195,71.8845452,III
Selangor,LANGAT,2.964141,101.783797,19,2BLGT004,LANGAT,2017/8/8 11:27,30.1,2.34,8,26,60,7.07,5.46,28.222,284,0.13,46.46,188,248,0.91,19,0.65,0.037,<0.001,<0.001,0.003,0.003,0.044,9.4,0.44,6.8,0.8,30.4,<1.000,<0.050,45000,6200000,21.3311198,68.75593348,67.43912732,0,67.99123262,99.159355,51.32445391,IV
Selangor,LANGAT,2.964141,101.783797,19,2BLGT004,LANGAT,2017/12/7 11:13,42.8,3.26,13,28,44,7.00,2.73,29.505,191,0.09,56.62,150,194,1.97,10,0.09,0.017,<0.001,<0.001,<0.001,0.003,0.025,2,0.1,3.4,0.4,10.7,<1.000,<0.050,44000,1160000,38.8796496,51.53274807,65.24229098,16.01823273,74.61492163,99.35,55.04663397,III
Selangor,LANGAT,3.040719,101.77367,19,2BLGT007,LANGAT,2017/10/6 15:17,84.3,6.42,4,16,38,7.35,2.84,29.484,124.2,0.06,53.49,60,98,2.69,24,0.74,0.01,<0.001,<0.001,0.001,0.001,0.013,9.4,0.5,7.7,1,23.2,<1.000,<0.050,35000,520000,92.9842786,83.48,77.82,14.26680475,77.31244979,97.803875,75.01541897,III
Selangor,LANGAT,2.964141,101.783797,19,2BLGT004,LANGAT,2017/10/6 13:45,69.9,5.22,4,16,38,7.45,5.27,30.678,232.7,0.11,32.75,177,215,<0.010,15,0.47,0.017,<0.001,<0.001,0.002,0.002,0.023,4,0.42,5.5,0.5,15.6,<1.000,<0.050,34000,122000,77.8788802,83.48,77.82,0,77.31244979,97.089875,69.46653061,III
Selangor,LANGAT,3.040719,101.77367,19,2BLGT007,LANGAT,2017/8/2 11:50,76.8,6.00,5,14,125,7.24,4.51,28.077,162.5,0.08,67.5,88,213,2.81,10,0.47,0.013,<0.001,<0.001,<0.001,0.003,0.018,3.7,0.08,3.8,0.3,11.5,<1.000,<0.050,10400,77000,85.9552336,79.25,80.48,0,56.25488347,98.44952,67.65917515,III
Selangor,LANGAT,2.993079,101.785532,19,2BLGT005,LANGAT,2017/12/6 15:20,71.5,5.39,9,28,117,7.23,2.28,30.164,198.9,0.09,43.75,128,245,4.24,73,0.16,0.011,<0.001,<0.001,<0.001,0.002,0.044,2.8,0.57,5.7,5.8,37.1,<1.000,<0.050,9000,74000,79.867325,64.93365799,65.24229098,24.0535388,57.12372836,98.500955,64.91491503,III
Selangor,LANGAT,3.040719,101.77367,19,2BLGT007,LANGAT,2017/12/6 16:32,97.7,7.46,8,25,250,7.09,1.89,29.423,99.2,0.05,152.52,52,302,2.63,7,0.16,0.009,<0.001,<0.001,<0.001,0.005,0.034,0.6,0.66,2.3,<0.1000,6.7,<1.000,<0.050,7500,42000,100,68.75593348,68.56273367,31.27731178,43.84272327,99.093995,69.63137664,III
Selangor,LANGAT,3.111312,101.816819,19,2BLGT008,LANGAT,2017/10/6 16:18,102.3,7.75,4,17,45,7.55,0.2,29.905,46.5,0.02,16.92,26,71,3.23,2,0.13,0.005,<0.001,<0.001,<0.001,<0.001,0.007,2.3,0.36,2.2,0.3,3.6,<1.000,<0.050,6600,104000,100,83.48,76.49,79.5,74.17704763,96.254875,85.44351262,II
Selangor,LANGAT,3.047051,101.776908,19,2BLGT002,LANGAT,2017/12/6 17:51,90.8,7.03,9,28,235,7.00,1.37,28.636,81.7,0.04,175.47,47,282,2.84,5,0.11,0.008,<0.001,<0.001,0.003,0.005,0.014,0.2,0.78,1.8,<0.1000,5,<1.000,<0.050,6600,74000,97.2215376,64.93365799,65.24229098,39.72482322,45.22376565,99.35,69.28142583,III
Selangor,LANGAT,3.111312,101.816819,19,2BLGT008,LANGAT,2017/8/2 13:45,100.7,7.81,4,16,57,7.50,0.12,28.537,44.2,0.02,34.04,26,83,2.37,2,0.22,0.004,<0.001,<0.001,<0.001,<0.001,0.012,0.9,0.53,1.2,0.2,2.9,<1.000,<0.050,5200,69000,100,83.48,77.82,87.9,69.17271037,96.6875,86.16753366,II
Selangor,LANGAT,2.855499,101.681547,19,2BLGT003,LANGAT,2017/12/4 13:31,69.6,5.42,10,44,423,7.17,1.57,28.289,119,0.05,259.38,79,502,5.82,7,0.12,0.014,<0.001,<0.001,0.004,0.013,0.061,1.3,0.34,2.5,0.2,9,<1.000,<0.050,4000,88000,77.4990928,61.31057952,49.86102177,36.08245577,29.7400942,98.784155,58.70145605,III
Selangor,LANGAT,3.111312,101.816819,19,2BLGT008,LANGAT,2017/12/8 14:35,98.4,7.81,5,24,74,6.96,0.08,27.25,39.3,0.02,34.24,23,97,2.12,1,0.04,0.003,<0.001,<0.001,<0.001,0.002,0.01,0.2,0.29,1.3,<0.1000,2.2,<1.000,<0.050,3400,25000,100,79.25,69.7034869,92.1,62.82254821,99.574528,84.02560898,II
Selangor,LANGAT,3.167259,101.850525,19,2BLGT006,LANGAT,2017/8/2 14:17,103.5,8.02,4,12,11,7.55,0.06,28.594,39.6,0.02,6.85,24,35,1.82,<1,0.16,0.002,<0.001,<0.001,<0.001,<0.001,0.011,0.7,0.36,0.6,0.2,1.5,<1.000,<0.050,2200,59000,100,83.48,83.14,94.2,91.06289964,96.254875,91.41424894,II
Selangor,LANGAT,2.855499,101.681547,19,2BLGT003,LANGAT,2017/8/1 17:35,74.3,5.53,5,12,79,7.11,5.33,30.843,243.3,0.11,30.23,180,259,3.7,26,0.62,0.015,<0.001,<0.001,<0.001,0.002,0.018,5.9,0.66,5.9,1,22,<1.000,<0.050,1600,33000,83.1852186,79.25,83.14,0,61.10760076,99.023795,68.32071961,III
Selangor,LANGAT,3.167259,101.850525,19,2BLGT006,LANGAT,2017/10/6 16:35,100.5,7.68,8,26,6,7.72,0.05,29.373,36.5,0.02,3.08,21,27,1.48,1,0.05,0.002,<0.001,<0.001,<0.001,<0.001,0.006,2,0.13,1.9,0.3,2.8,<1.000,<0.050,1200,67000,100,68.75593348,67.43912732,95.25,93.9245259,94.55768,86.51623348,II
Selangor,LANGAT,2.87611,101.451639,19,2BLGT026,LANGAT,2017/8/1 15:41,94.2,6.09,3,10,28,7.59,0.7,33.074,31542.1,19.45,11.76,20100,20100,0.16,10700,0.18,0.005,<0.001,<0.001,0.001,<0.001,0.008,180,<0.010,219,543,6050,<1.000,<0.050,700,22000,100,87.71,85.8,56.44081134,82.08658899,95.886995,85.49931534,II
Selangor,LANGAT,2.815335,101.512831,19,2BLGT027,LANGAT,2017/8/7 09:39,58.7,4.52,4,12,40,7.83,1.72,28.849,148.6,0.07,32.67,85,125,2.69,15,0.35,0.006,<0.001,<0.001,<0.001,0.001,0.016,2.3,0.29,2.9,0.4,14.8,<1.000,<0.050,600,6900,62.5232994,83.48,83.14,33.68363499,76.39973485,93.273155,71.38800729,III
Selangor,LANGAT,3.167259,101.850525,19,2BLGT006,LANGAT,2017/12/8 15:09,103.1,8.16,14,41,11,7.29,0.03,27.412,36,0.02,8.36,21,32,1.51,1,<0.010,0.002,<0.001,<0.001,<0.001,<0.001,0.007,0.1,0.1,1,<0.1000,1.8,<1.000,<0.050,600,50000,100,48.60541138,52.47053984,97.35,91.06289964,98.174195,80.58378188,II
Selangor,LANGAT,2.87611,101.451639,19,2BLGT026,LANGAT,2017/10/5 09:21,36.2,2.60,8,26,52,6.60,0.74,28.861,21780.7,13.02,114.6,15100,15200,<0.010,7270,0.07,0.007,<0.001,<0.001,0.002,0.004,0.029,209,<0.010,183,428,3860,<1.000,<0.050,500,26000,29.4306144,68.75593348,67.43912732,55.21461459,71.2027333,97.7548,61.73382842,III
Selangor,LANGAT,2.855499,101.681547,19,2BLGT003,LANGAT,2017/10/4 14:41,65.1,5.05,10,30,97,7.64,4.29,28.505,223.3,0.1,75.8,234,331,2.68,38,0.3,0.015,<0.001,<0.001,0.001,0.003,0.02,4.7,0.18,3.9,0.7,16.7,<1.000,<0.050,500,43000,71.5664098,61.31057952,63.11089058,0,55.45914939,95.39992,57.81281706,III
