STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,04-Nov-15,90.7,7.16,11,42,38,7.48,0.02,28.34,134,0.05,80.5,65.3,103.3,2.88,5.428,0.057,0.020275145,<0.0002,<0.001,0.001550805,<0.01,0.102571049,0.267538488,0.127726068,1.812432333,0.359383641,7.4050923,<1,<0.05,5200,121000,97.1711714,57.87603808,51.58763845,98.925,77.31244979,96.85208,79.45911866,II
SELANGOR,LANGAT,03 06 677,101 49 009,19,1L16,LANGAT,04-Nov-15,97.1,7.64,9,31,27,7.87,0.02,27.67,50,0.02,47.7,26.4,53.4,0.67,3.358,0.037,0.014152528,<0.0002,<0.001,0.00201097,<0.01,0.062668567,<0.1,0.37369592,0.304252084,0.123944084,3.16980065,<1,<0.05,1900,52000,100,64.93365799,61.65675896,98.715,82.58387809,92.769755,83.35551755,II
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L02,LANGAT,01-Dec-15,63.8,5.00,6,25,58,6.91,0.01,27.89,208,0.1,112.5,188,246,0.571,7.43,<0.01,0.001043718,<0.0002,<0.001,<0.001,<0.01,0.279380621,15.3924616,<0.01,5.023841152,2.463531709,7.866802117,<1,<0.05,NA,NA,69.7793856,77.04376321,68.33664926,99.45,68.77588083,99.425173,78.77630542,II
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,01-Dec-15,76.1,5.84,6,20,88,7.11,0.44,29.14,132,0.06,140.7,67.8,155.8,0.597,26.259,0.094,0.004722824,<0.0002,<0.001,<0.001,<0.01,0.024671546,10.77163714,0.379465313,5.653015235,0.879689694,14.8680829,<1,<0.05,2100,71000,85.1990838,77.04376321,74.0778965,65.17856867,58.18380384,99.023795,76.2036262,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,01-Dec-15,79.0,6.19,6,20,24,7.91,0.11,27.91,178,0.08,44.1,90.6,114.6,0.846,9.086,0.015,0.003833159,<0.0002,<0.001,<0.001,<0.01,0.025851122,13.46857063,0.137183705,5.232321994,0.985464944,8.983040428,<1,<0.05,5900,155000,88.2272,77.04376321,72.899,89.055,84.09811951,92.246995,83.59572753,II
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,01-Dec-15,80.0,7.12,6,21,15,7.79,0.12,27.23,85,0.07,36.7,88.4,103.4,0.859,9.81,0.016,0.004664267,<0.0002,<0.001,<0.001,<0.01,0.027073864,3.512913788,0.184227691,4.780673205,0.294145957,8.212257107,<1,<0.05,6600,144000,89.205,77.04376321,73.71399447,87.795,88.84822437,93.757195,84.69348342,II
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,07-Jan-16,71.9,5.05,16,38,12,6.90,2.15,29.97,21826,13.04,38.1,15300,15312,0.159,6498.63,<0.01,0.001536502,<0.0002,<0.001,<0.001,<0.01,0.03687296,166.588,<0.01,160.61,401.07,5620,<1,<0.05,3900,35000,80.3543082,43.19655446,54.92159585,26.69269457,90.5030959,99.3913,65.08410402,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,07-Jan-16,70.9,5.26,14,44,125,7.56,3.62,29.73,556,0.25,202.1,291,416,1.547,35.222,0.013,0.002049479,<0.0002,<0.001,<0.001,<0.01,0.026371236,17.65,0.496,7.953,6.561,32.131,<1,<0.05,200,2500,79.1291342,48.60541138,49.69118598,3.769928275,56.25488347,96.16472,55.70006444,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,07-Jan-16,51.0,3.87,6,29,41,7.27,4.45,29.65,265,0.12,63.8,198,239,0.254,13.221,0.043,0.006174794,<0.0002,<0.001,<0.001,<0.01,<0.01,19.413,0.057,5.993,1.681,15.547,<1,<0.05,900,24000,51.1048,77.04376321,64.06205386,0,75.94848876,98.287955,60.07761243,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,07-Jan-16,50.6,3.83,6,17,31,7.70,5.14,29.59,223,0.1,45,198,229,0.992,10.469,0.043,0.00750241,<0.0002,<0.001,<0.001,<0.01,<0.01,22.31,0.134,5.387,1.354,12.832,<1,<0.05,600,31000,50.47496098,77.04376321,76.756,0,80.6167457,94.7755,62.29550574,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,07-Jan-16,64.8,5.10,6,21,22,7.40,4.89,28.23,110,0.04,43.1,196,218,0.447,10.51,0.032,0.005479838,<0.0002,<0.001,<0.001,<0.01,<0.01,23.344,0.161,5.285,1.333,12.772,<1,<0.05,1700,44000,71.1566416,77.04376321,73.351746,0,85.12651283,97.462,67.34473757,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L02,LANGAT,03-Feb-16,54.0,4.05,9,35,49,6.98,0.50,30.37,261,0.12,92.2,223,272,2.981,17.199,0.013,0.002252825,<0.0002,<0.001,<0.001,<0.01,<0.01,17.361,0.06,7.358,3.232,17.566,<1,<0.05,2500,130000,55.5922,64.93365799,58.05555081,63.26089674,72.4582,99.624932,66.8940055,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,03-Feb-16,69.6,5.19,9,35,11,7.22,2.99,30.54,225,0.1,22.3,199,210,0.937,12.205,0.012,0.005225369,<0.0002,<0.001,<0.001,<0.01,<0.01,19.448,<0.01,5.289,1.461,13.812,<1,<0.05,330000,610000000,77.4990928,64.93365799,58.05555081,11.95177583,91.06289964,98.55118,66.86505548,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,03-Feb-16,47.0,3.52,10,48,14,7.28,6.62,28.96,137,0.06,31.3,223,237,0.173,13.492,0.065,0.006024215,<0.0002,<0.001,<0.001,<0.01,<0.01,21.381,<0.01,5.887,1.331,16.679,<1,<0.05,40000,163000,45.1104,61.31057952,46.55891631,0,89.39578585,98.23168,55.11385205,III
SELANGOR,LANGAT,03 10 044,101 51 034,19,1L07,LANGAT,04-Feb-16,109.8,8.73,8,23,1,7.56,0.15,27.29,28,0.01,1.1,22,23,0.477,5,0.033,0.002552726,0.000222572,<0.001,<0.001,<0.01,<0.01,1.308,0.143,2.037,0.406,3.184,<1,<0.05,21000,136000,100,68.75593348,70.86165832,84.435,96.89312275,96.16472,86.10940873,II
