STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-04-04,101.0,7.32,11,30,10,7.73,2.98,32.44,288,0.13,12.4,176,186,1.79,16.0,0.18,0.008,<0.0002,<0.001,<0.001,<0.01,0.04,5.9,0.57,5.1,1.0,40.1,<1,<0.05,122000,370000,100,58,63,12,92,94,71,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-05-04,102.2,7.54,14,39,8,7.62,9.33,31.37,404,0.19,12.2,210,218,5.76,16.3,0.66,0.013,<0.0002,<0.001,<0.001,<0.01,0.07,4.0,1.51,6.2,0.9,8.3,<1,<0.05,24250,365500,100,49,55,0,93,96,66,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-06-05,114.6,8.33,11,32,12,8.33,4.82,32.23,462,0.22,20.2,235,247,10.61,25.0,0.42,0.012,<0.0002,<0.001,<0.001,<0.01,0.09,3.7,1.33,8.0,0.6,64.4,<1,<0.05,13800,82000,100,58,61,0,91,86,68,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-07-07,132.1,9.66,13,44,12,6.88,4.81,31.88,500,0.24,8.2,256,268,3.65,28.2,0.73,0.013,<0.0002,<0.001,<0.001,<0.01,0.06,1.8,0.84,7.7,0.4,74.0,<1,<0.05,10950,39000,100,52,50,0,91,99,66,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-08-01,102.7,7.77,16,59,6,7.99,4.77,29.91,424,0.20,8.3,242,248,0.63,21.4,0.48,0.012,<0.0002,<0.001,<0.001,<0.01,0.05,2.6,0.77,6.7,0.4,17.5,<1,<0.05,21500,148000,100,43,39,0,94,91,62,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-09-04,80.6,6.14,7,20,10,7.41,1.96,29.58,247,0.12,20.2,123,133,0.52,13.1,0.17,0.010,<0.0002,<0.001,<0.001,<0.01,0.06,2.2,0.70,4.2,0.5,21.3,<1,<0.05,38000,158000,90,73,74,30,92,97,76,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-10-03,56.6,4.27,14,42,5,7.49,5.87,29.92,488,0.23,11.3,258,263,0.28,24.7,0.69,0.009,0.0007,<0.001,<0.001,<0.01,0.06,3.0,1.54,6.8,0.4,25.3,<1,<0.05,63500,177000,59,49,52,0,95,97,57,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2013-11-06,89.2,6.89,8,25,18,7.12,6.15,28.71,301,0.14,15.8,179,197,1.05,15.7,0.18,0.007,<0.0002,<0.001,<0.001,<0.01,0.03,3.6,0.20,4.9,0.6,36.1,<1,<0.05,38500,178000,96,69,69,0,87,99,71,III
N.SEMBILAN,LANGAT,02 46 661,101 45 119,19,1L23,BATANG NILAI,2013-12-11,68.9,5.10,14,44,15,7.58,8.06,31.15,340,0.16,35.0,209,224,0.47,18.0,0.18,0.008,<0.0002,<0.001,<0.001,<0.01,0.05,2.9,0.63,5.1,0.2,24.0,<1,<0.05,55500,490000,77,49,50,0,89,96,60,III
SELANGOR,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-01-10,60.6,4.90,14,43,6,7.24,10.78,26.17,451,0.21,11.1,243,249,0.25,54.0,0.25,0.005,<0.0002,<0.001,<0.001,<0.01,0.04,2.5,0.70,7.3,1.5,36.6,<1,<0.05,46000,200000,65,49,51,0,94,98,58.6,III
SELANGOR,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-02-06,92.1,6.81,17,51,12,8.00,12.09,30.29,473,0.22,24.4,290,302,0.72,23.2,0.37,0.009,<0.0002,<0.001,<0.001,<0.01,0.10,10.9,0.57,5.4,0.9,58.8,<1,<0.05,73000,5150000,100,41,44,0,91,91,62.2,III
SELANGOR,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-03-06,96.4,6.79,17,69,8,8.38,9.64,33.57,580,0.28,14.5,319,327,2.20,31.6,0.61,0.012,<0.0002,<0.001,<0.001,<0.01,0.03,3.4,0.03,4.2,0.4,38.5,<1,<0.05,46500,208500,100,41,32,0,93,85,59.9,III
SELANGOR,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-04-06,84.6,6.64,13,33,4,6.97,9.14,27.56,457,0.22,11.9,284,288,0.68,21.0,0.28,0.011,<0.0002,<0.001,<0.001,<0.01,0.10,17.1,1.13,8.0,1.4,65.9,<1,<0.05,63500,229500,93,52,60,0,95,100,67.1,III
SELANGOR,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-05-07,100.1,7.02,24,56,7,7.32,4.15,34.30,405,0.19,11.8,251,258,0.72,21.1,0.40,0.013,<0.0002,<0.001,<0.001,<0.01,0.04,14.7,1.34,7.7,1.4,57.9,<1,<0.05,48000,112000,100,26,41,0,93,98,60.3,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-06-04,81.7,6.14,7,28,10,7.12,3.87,30.26,200,0.09,23.1,123,133,0.85,13.7,0.17,0.005,<0.0002,<0.001,<0.001,<0.01,0.08,9.3,0.35,4.6,1.0,17.9,<1,<0.05,68000,530000,91,73,65,1,92,99,70.9,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-07-04,105.2,7.81,14,36,17,7.26,6.87,30.69,415,0.20,34.3,264,281,1.30,29.8,0.38,0.010,<0.0002,<0.001,<0.001,<0.01,0.01,13.9,0.12,8.5,1.3,54.6,<1,<0.05,33000,167000,100,49,57,0,88,98,66.2,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-08-07,69.4,5.13,10,26,18,7.17,4.93,31.20,253,0.12,38.2,167,185,0.18,19.0,0.19,0.006,<0.0002,<0.001,<0.001,<0.01,0.03,14.2,0.24,6.6,1.2,24.8,<1,0.09,107000,21600000,77,61,67,0,87,99,65.2,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-09-07,85.0,6.74,10,48,4,7.57,7.26,27.45,504,0.24,8.3,296,300,<0.01,32.1,0.68,0.013,<0.0002,<0.001,<0.001,<0.01,0.02,13.1,0.62,8.6,1.8,70.1,<1,0.09,42000,610000,94,61,46,0,95,96,66.4,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-10-09,110.7,8.42,7,24,5,7.11,6.91,29.56,421,0.20,11.3,256,261,0.73,29.0,0.43,0.010,<0.0002,<0.001,<0.001,<0.01,<0.01,13.9,1.43,8.8,1.3,59.1,<1,<0.05,530000,690000000,100,73,70,0,95,99,74.0,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-11-03,82.8,6.12,11,33,94,6.85,3.97,31.12,294,0.14,123.8,189,189,6.66,31.8,0.09,0.006,<0.0002,<0.001,<0.001,<0.01,0.01,18.5,0.15,7.8,1.7,27.0,<1,<0.05,51000,195000,92,58,60,0,NA,99,NA,I
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2014-12-04,68.9,5.51,9,38,36,7.10,0.87,26.65,212,0.10,72.1,159,195,5.04,27.9,0.02,0.003,<0.0002,<0.001,<0.001,<0.01,0.01,13.9,0.61,4.6,1.2,15.2,<1,<0.05,26000,185000,77,65,55,51,78,99,70.1,III
