STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.Sembilan,LANGAT,2.888253,101.829003,19,3NLGT019,BERANANG,2017-08-07,45.5,3.35,4,13,279,7.21,0.67,31.489,156.3,0.07,136.76,83,362,3.38,12,0.25,0.01,<0.001,<0.001,0.001,0.006,0.018,7.8,0.58,6,1,20.6,<1.000,<0.050,<1.000,31000,42.873225,83.48,81.81,57.38211679,41.24987023,98.600195,65.42222966,III
N.Sembilan,LANGAT,2.888253,101.829003,19,3NLGT019,BERANANG,2017-10-06,77.4,5.96,5,12,121,7.46,0.58,28.865,127.5,0.06,70.49,64,185,4.88,10,0.29,0.007,<0.001,<0.001,<0.001,0.003,0.009,0.5,1.38,2.7,<0.1000,10.4,<1.000,<0.050,9000,350000,86.5908352,79.25,83.14,60.32088135,56.68810777,97.01182,77.16953159,II
N.Sembilan,LANGAT,2.888253,101.829003,19,3NLGT019,BERANANG,2017-12-05,88.3,6.71,8,39,168,7.04,0.35,29.666,107.2,0.05,123.44,58,226,5.07,8,0.23,0.005,<0.001,<0.001,<0.001,0.005,0.016,5.9,1.69,3.9,0.6,8.7,<1.000,<0.050,1000,52000,95.8186226,68.75593348,54.27656761,68.66837405,51.74502307,99.24832,73.31723335,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-02-07,84.102,6.601,4,16,107,7.634,0.24,27.838,105.847,0.048,88.823,54,161,5.08,6,0.09,0.005,<0.0010,<0.001,<0.001,0.004,0.011,4.9,0.85,4.4,0.7,9.7,<1.000,<0.050,3300,36000,93,83,78,75,58,95,81,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-04-06,98.007,7.262,3,10,82,7.297,0.5,31.162,125.815,0.058,51.563,64,146,6.58,9,Triennial,0.01,<0.0010,<0.001,0.001,0.003,<0.100,5.2,0.37,5,0.8,11.5,Triennial,<0.050,1700,7600,100,88,86,63,60,98,83,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-06-08,86.081,6.635,5,23,78,7.573,0.67,28.861,162.604,0.075,72.566,77,155,6.47,8,0.11,0.009,<0.0010,<0.001,0.002,0.007,0.018,0.9,0.93,4.2,0.1,14.4,<1.000,<0.050,6000,36000,94,79,71,57,61,96,77,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-08-06,80.224,6.05,5,16,163,7.373,0.65,30.117,166.166,0.077,115.797,93,256,6.78,10,0.25,0.012,<0.0010,<0.001,0.002,0.007,0.017,0.8,1.16,4.3,0.1,18.7,<1.000,<0.050,900,11200,89,79,78,58,52,98,76,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-10-05,91.236,6.853,4,16,112,7.472,0.35,30.348,154.955,0.071,113.899,79,191,6.05,8,0.25,0.009,<0.0010,<0.001,0.003,0.006,0.023,6.6,0.86,5.4,0.8,16.2,<1.000,<0.050,36000,122000,97,83,78,69,58,97,81,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.888253,101.829003,19,1L18,BERANANG,2018-12-06,87.196,6.71,6,21,191,6.792,0.39,28.961,106.368,0.049,131.43,55,246,3.6,7,0.31,0.007,<0.0010,<0.001,<0.001,0.006,0.017,8,0.88,4.7,1,7.1,<1.000,<0.050,2600,70000,95,77,73,67,49,99,77,II
