ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
20,2.481967,102.013,LANGAT,9/1/2012,2012,II,0.479,0.022,0.021,0.014,0.55,0,0.00452,0.003,0.003,0.00461,0.47,0.038,0.00003,8.30E-07,0.009,0.00126,0.03429,0.0493,0.01593,0.0124,0.00166,0.04639,0.05333,0.00517,0.246,0.01,0.0006,0.002145382
21,2.481967,102.013,LANGAT,2/2/2012,2012,II,0.599,0.043,0.015,0.026,0.531,0.094,0.00311,0.002,0.003,0.00522,0.457,0.053,0.00008,1.83E-06,0.01,0.00062,0.01286,0.02362,0.01593,0.0124,0.00166,0.04639,0.02791,0.00382,0.102,0.007,0.00044,0.001298523
22,2.580816,101.95695,LANGAT,14/3/2012,2012,II,0.426,0.087,0.076,0.009,0.534,0.053,0.00293,0.002,0.002,0.003,0.299,0.074,0.00009,3.13E-06,0.007,0.00078,0.01171,0.04921,0.01593,0.0124,0.00166,0.04639,0.03585,0.00242,0.235,0.007,0.00043,0.001347511
23,2.580816,101.95695,LANGAT,5/4/2012,2012,II,0.444,0.022,0.015,0.06,0.52,0.044,0.00277,0.002,0.002,0.00806,0.466,0.126,0.00071,2.68E-06,0.009,0.00043,0.00857,0.04482,0.01593,0.0124,0.00166,0.04639,0.07937,0.00312,0.091,0.007,0.00037,0.001373245
24,2.580816,101.95695,LANGAT,8/5/2012,2012,II,0.5,0.022,0.046,0.036,0.507,0.031,0.0022,0.002,0.001,0.00518,0.307,0.112,0.00027,2.76E-06,0.006,0.00156,0.01,0.03539,0.01593,0.0124,0.00166,0.04639,0.08385,0.00236,0.186,0.006,0.00066,0.002147629
25,2.580816,101.95695,LANGAT,11/6/2012,2012,II,0.35,0.043,0.033,0.012,0.516,0.001,0.00423,0.003,0.003,0.00415,0.555,0.035,0.00008,2.09E-05,0.011,0.00065,0.01486,0.0593,0.01593,0.0124,0.00166,0.04639,0.07193,0.00461,0.068,0.01,0.00048,0.002053553
26,2.651733,101 55 501,LANGAT,6/7/2012,2012,III,0.458,0.087,0.088,0.053,0.582,0.154,0.0066,0.005,0.006,0.01205,0.46,0.056,0.00003,1.67E-06,0.008,0.00305,0.02229,0.04688,0.01593,0.0124,0.00166,0.04639,0.01364,0.00458,0.007,0.003,0.00122,0.004697301
27,2.580816,101.95695,LANGAT,5/9/2012,2012,III,0.261,0.109,0.137,0.134,0.55,0.06,0.00269,0.002,0.002,0.01666,0.226,0.261,0.00036,7.66E-06,0.007,0.00075,0.00629,0.04725,0.01593,0.0124,0.01809,0.04639,0.08159,0.00308,0.356,0.008,0.00048,0.001364801
28,2.651733,101 55 501,LANGAT,3/10/2012,2012,III,0.468,0.065,0.058,0.029,0.598,0.091,0.00441,0.003,0.003,0.00605,0.541,0.056,0.00001,1.51E-07,0.012,0.00116,0.00257,0.02997,0.01593,0.0124,0.00166,0.04639,0.05376,0.00444,0.053,0.009,0.00068,0.002286723
29,2.651733,101 55 501,LANGAT,7/11/2012,2012,III,0.5,0.174,0.179,0.058,0.49,0.034,0.00228,0.002,0.002,0.00769,0.306,0.133,0.0001,2.49E-06,0.006,0.0005,0.00314,0.03212,0.01593,0.0124,0.00166,0.04639,0.08829,0.00301,0.28,0.007,0.00042,0.000964835
30,2.651733,101 55 501,LANGAT,12/12/2012,2012,II,0.608,0.087,0.076,0.004,0.525,0.034,0.00225,0.002,0.001,0.00144,0.293,0.064,0.00015,1.07E-05,0.008,0.00052,0.03086,0.02568,0.01593,0.0124,0.00166,0.04639,0.1269,0.00282,0,0.007,0.00049,0.000876966
