ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
198,2.888283,101.8289,PAJAM,7/3/2013,2013,III,0.564,0.217,0.17,0.014,0.607,0.215,0.00587,0.004,0.005,0.00596,0.527,0.056,0.00172,0.002095703,0.018,0.00091,0.04057,0.05855,0.01593,0.0124,0.00166,0.04639,0.02907,0.00405,0.295,0.024,0.00064,0.002247423
199,2.888283,101.8289,PAJAM,4/4/2013,2013,III,0.452,0.239,0.192,0.049,0.559,0.088,0.00324,0.002,0.002,0.00757,0.529,0.075,0.00018,2.54E-06,0.01,0.0004,0.02286,0.02857,0.01593,0.0124,0.00166,0.04639,0.03624,0.00343,0.235,0.013,0.00049,0.001035074
200,2.888283,101.8289,PAJAM,4/5/2013,2013,III,0.47,0.217,0.187,0.006,0.534,0.149,0.00431,0.003,0.003,0.00329,0.5,0.029,0.00028,8.63E-06,0.048,0.00061,0.02057,0.03717,0.01593,0.0124,0.00166,0.04639,0.08876,0.00355,0.393,0.014,0.00054,0.001612446
201,2.888283,101.8289,PAJAM,5/6/2013,2013,III,0.501,0.152,0.112,0.023,0.605,0.08,0.00384,0.003,0.003,0.00496,0.51,0.073,0.00217,3.46E-06,0.015,0.00049,0.01486,0.04146,0.01593,0.0124,0.00166,0.04639,0.08641,0.00173,0.351,0.014,0.00034,0.001335653
202,2.888283,101.8289,PAJAM,7/7/2013,2013,III,0.582,0.261,0.255,0.025,0.69,0.339,0.00704,0.005,0.005,0.00762,0.537,0.039,0.00003,8.09E-07,0.032,0.00127,0.07229,0.05958,0.01593,0.0124,0.00166,0.04639,0.06124,0.00214,0.24,0.02,0.00053,0.002543181
203,2.888283,101.8289,PAJAM,1/8/2013,2013,III,0.49,0.217,0.236,0.093,0.646,0.162,0.00592,0.004,0.005,0.01501,0.372,0.46,0.00058,7.66E-06,0.029,0.00099,0.04286,0.04734,0.01593,0.0124,0.01165,0.04639,0.09536,0.00224,0.52,0.019,0.00048,0.002404495
204,2.888283,101.8289,PAJAM,4/9/2013,2013,III,0.57,0.109,0.092,0.032,0.573,0.097,0.00381,0.003,0.003,0.00582,0.396,0.15,0.00029,0.0000055,0.01,0.00055,0.02486,0.05836,0.01593,0.0124,0.01872,0.04639,0.07607,0.00116,0.554,0.014,0.00028,0.001180955
205,2.888283,101.8289,PAJAM,3/10/2013,2013,III,0.504,0.109,0.1,0.03,0.607,0.067,0.00465,0.003,0.003,0.00625,0.447,0.114,0.00015,0.000002617,0.027,0.00079,0.03943,0.04921,0.02708,0.0124,0,0.04639,0.08511,0.00134,0.477,0.014,0.00018,0.00201166
206,2.877166,101.839766,PAJAM,6/11/2013,2013,III,0.423,0.239,0.204,0.053,0.527,0.178,0.0046,0.003,0.003,0.00884,0.389,0.221,0.00019,2.87E-06,0.014,0.00057,0.03314,0.03632,0.01593,0.0124,0.00021,0.04639,0.06012,0.00292,0.38,0.015,0.00049,0.001458744
207,2.801816,101.791466,PAJAM,11/12/2013,2013,III,0.439,0.13,0.126,0.027,0.653,0.11,0.00415,0.003,0.003,0.00569,0.602,0.119,0.00021,1.55E-05,0.014,0.0006,0.03086,0.02624,0.01593,0.0124,0.00166,0.04639,0.03883,0.0017,0.363,0.015,0.00024,0.001642435
208,2.801816,101.791466,BATANG NILAI,6/1/2013,2013,III,0.554,0.152,0.143,0.004,0.664,0.192,0.01011,0.007,0.007,0.00687,0.831,0.01,0.00127,1.94E-05,0.018,0.00348,0.07543,0.0339,0.01593,0.0124,0.00166,0.04639,0.11725,0.00308,0.161,0.008,0.00032,0.005636829
209,2.801816,101.791466,BATANG NILAI,14/2/2013,2013,II,0.791,0.065,0.052,0.026,0.774,0.015,0.01399,0.009,0.01,0.01238,0.693,0.011,0.00044,0.00001,0.055,0.00971,0.132,0.08796,0.01593,0.0124,0.00166,0.04639,0.02057,0.00265,0.156,0.015,0.00052,0.010861452
210,2.801816,101.791466,BATANG NILAI,7/3/2013,2013,III,0.858,0.304,0.238,0.005,0.798,0.341,0.01165,0.009,0.009,0.00942,0.741,0.006,0.00172,0.002095703,0.018,0.00161,0.17086,0.12298,0.01593,0.0124,0.00166,0.04639,0.01896,0.00206,0.092,0.016,0.00044,0.011020149
211,2.801816,101.791466,BATANG NILAI,4/4/2013,2013,III,0.628,0.217,0.167,0.003,0.697,0.204,0.00741,0.005,0.007,0.0067,0.832,0.01,0.0021,7.87E-06,0.014,0.00111,0.04857,0.07013,0.01593,0.0124,0.00166,0.04639,0.03698,0.00186,0.177,0.01,0.00035,0.005918361
212,2.801816,101.791466,BATANG NILAI,4/5/2013,2013,III,0.649,0.283,0.219,0.003,0.678,0.639,0.01043,0.008,0.008,0.00802,0.735,0.01,0.00042,7.78E-06,0.046,0.00114,0.18657,0.10907,0.01593,0.0124,0.00166,0.04639,0.07507,0.00125,0.479,0.012,0.0003,0.001212798
213,2.801816,101.791466,BATANG NILAI,5/6/2013,2013,III,0.726,0.217,0.178,0.004,0.804,0.329,0.01194,0.009,0.009,0.00921,0.813,0.016,0.00024,1.74E-06,0.084,0.00178,0.11743,0.09917,0.01593,0.0124,0.00166,0.04639,0.10707,0.00116,0.42,0.016,0.00021,0.009519128
214,2.801816,101.791466,BATANG NILAI,7/7/2013,2013,III,0.856,0.261,0.253,0.004,0.546,0.329,0.01293,0.01,0.01,0.01008,0.781,0.006,0.00019,8.30E-07,0.029,0.00202,0.206,0.11121,0.01593,0.0124,0.00166,0.04639,0.07204,0.00056,0.263,0.015,0.00012,0.010946296
215,2.801816,101.791466,BATANG NILAI,1/8/2013,2013,III,0.672,0.326,0.342,0.002,0.743,0.326,0.01095,0.008,0.009,0.00925,0.602,0.007,0.00037,3.15E-06,0.005,0.00151,0.134,0.10636,0.01593,0.0124,0.00166,0.04639,0.05345,0.00081,0.243,0.013,0.00012,0.002577018
216,2.801816,101.791466,BATANG NILAI,4/9/2013,2013,III,0.513,0.13,0.108,0.003,0.641,0.134,0.00634,0.005,0.004,0.00452,0.572,0.016,0.00066,3.36E-06,0.004,0.0009,0.04514,0.08273,0.01593,0.0124,0.00166,0.04639,0.06773,0.00069,0.221,0.008,0.00014,0.003138757
217,2.801816,101.791466,BATANG NILAI,3/10/2013,2013,III,0.331,0.283,0.24,0.001,0.655,0.402,0.01261,0.009,0.01,0.00987,0.603,0.009,0.00109,0.000003766,0.002,0.00176,0.19514,0.07554,0.10036,0.0124,0.00166,0.04639,0.0627,0.00094,0.488,0.013,0.00012,0.003731964
218,2.801816,101.791466,BATANG NILAI,6/11/2013,2013,III,0.586,0.152,0.137,0.006,0.589,0.421,0.00775,0.006,0.007,0.00716,0.494,0.013,0.00066,3.79E-06,0.008,0.00109,0.04857,0.05967,0.01593,0.0124,0.00166,0.04639,0.02455,0.00113,0.061,0.01,0.0002,0.005329905
219,2.777683,101.751983,BATANG NILAI,11/12/2013,2013,III,0.412,0.283,0.252,0.005,0.671,0.552,0.00876,0.007,0.008,0.00827,0.715,0.028,0.00096,1.04E-05,0.004,0.00126,0.04914,0.06667,0.01593,0.0124,0.00166,0.04639,0.05207,0.00092,0.196,0.01,0.00003,0.003538763
220,2.777683,101.751983,JIJAN,6/1/2013,2013,II,0.542,0.022,0.015,0.01,0.417,0.073,0.00204,0.001,0.001,0.00222,0.63,0.031,0.00003,1.06E-06,0.009,0.00076,0.02171,0.00084,0.01593,0.0124,0.00166,0.04639,0.09742,0.0014,0.143,0.006,0.00027,0.000314655
221,2.777683,101.751983,JIJAN,14/2/2013,2013,II,0.59,0.065,0.058,0.03,0.509,0.009,0.00202,0.001,0.002,0.00464,0.582,0.072,0.00005,6.81E-07,0.01,0.00061,0.00486,0.00047,0.01593,0.0124,0.00166,0.04639,0.01112,0.00134,0.127,0.007,0.00032,0.000891463
222,2.777683,101.751983,JIJAN,6/3/2013,2013,II,0.482,0.043,0.031,0.036,0.358,0.011,0.00189,0.001,0.001,0.0049,0.674,0.028,0.00002,0.000000284,0.007,0.00056,0.002,0.0028,0.01593,0.0124,0.00166,0.04639,0.00893,0.00128,0.083,0.007,0.0004,0.000947739
223,2.777683,101.751983,JIJAN,4/4/2013,2013,II,0.532,0.152,0.126,0.015,0.456,0.016,0.00173,0.001,0.001,0.00259,0.774,0.03,0.00003,9.79E-07,0.007,0.00057,0.00286,0.00654,0.0462,0.0124,0.00166,0.04639,0.06887,0.00127,0.131,0.007,0.00031,0.000654018
224,2.777683,101.751983,JIJAN,4/5/2013,2013,II,0.56,0,0.005,0.028,0.46,0.021,0.00191,0.001,0.001,0.00414,0.428,0.106,0.00006,0.000000367,0.033,0.0006,0.00171,0.0057,0.01593,0.0124,0.00166,0.04639,0.08559,0.0013,0.191,0.008,0.00032,0.000786148
225,2.777683,101.751983,JIJAN,5/6/2013,2013,II,0.525,0.109,0.088,0.023,0.635,0.013,0.00184,0.001,0.001,0.00338,0.695,0.073,0.00004,1.05E-07,0.009,0.0005,0.00429,0.01177,0.01593,0.0124,0.0025,0.04639,0.05164,0.001,0.304,0.008,0.00026,0.000743293
226,2.777683,101.751983,JIJAN,7/7/2013,2013,II,0.555,0.109,0.118,0.003,0.667,0.049,0.00288,0.002,0.002,0.00199,0.747,0.01,0.00008,8.94E-07,0.02,0.00075,0.09943,0.01074,0.01593,0.0124,0.00166,0.04639,0.05526,0.00068,0.187,0.009,0.00019,0.001378354
227,2.777683,101.751983,JIJAN,1/8/2013,2013,II,0.716,0.174,0.188,0.001,0.628,0.032,0.0029,0.002,0.002,0.00185,0.601,0.009,0.00011,7.45E-07,0.018,0.00089,0.03857,0.01793,0.01593,0.0124,0.00166,0.04639,0.05366,0.0013,0.312,0.01,0.0003,0.001599006
228,2.777683,101.751983,JIJAN,4/9/2013,2013,II,0.553,0.043,0.045,0.013,0.566,0.02,0.00223,0.002,0.001,0.00245,0.522,0.061,0.00005,2.06E-06,0.005,0.0007,0.01314,0.02166,0.01593,0.0124,0.01477,0.04639,0.07084,0.00058,0.377,0.01,0.00027,0.000706891
229,2.777683,101.751983,JIJAN,3/10/2013,2013,II,0.671,0.043,0.046,0.004,0.644,0.032,0.00272,0.002,0.002,0.00218,0.557,0.018,0.00016,4.79E-06,0.018,0.00074,0.03514,0.01466,0.01593,0.0124,0.00166,0.04639,0.05626,0.00043,0.271,0.008,0.00009,0.001255138
230,2.777633,101.75205,JIJAN,8/11/2013,2013,II,0.531,0.065,0.076,0.006,0.515,0.016,0.00236,0.002,0.001,0.00173,0.476,0.031,0.00004,7.02E-07,0.009,0.00072,0.01229,0.00579,0.01593,0.0124,0.00166,0.04639,0.04221,0.0009,0.204,0.01,0.00034,0.000720574
231,2.787183,101.750766,JIJAN,11/12/2013,2013,II,0.536,0.065,0.067,0.015,0.593,0.024,0.00225,0.002,0.002,0.00311,0.556,0.062,0.00004,0.000000883,0.006,0.00074,0.00543,0.00289,0.01593,0.0124,0.00166,0.04639,0.03759,0.0008,0.114,0.012,0.00024,0.00078821
232,2.787183,101.750766,BATANG LABU,30/11/2013,2013,III,0.405,0.261,0.232,0.01,0.554,0.031,0.00285,0.002,0.002,0.00268,0.386,0.049,0.00009,7.02E-07,0.006,0.0007,0.00743,0.01952,0.01593,0.0124,0.00166,0.04639,0.03016,0.00097,0.194,0.011,0.00026,0.000942108
233,2.78945,101.739816,BATANG LABU,30/10/2013,2013,III,0.426,0.196,0.179,0.022,0.548,0.132,0.0048,0.004,0.003,0.00547,0.635,0.106,0.00008,8.30E-07,0.012,0.00164,0.04086,0.00084,0.01593,0.0124,0.00166,0.04639,0.00603,0.00134,0.288,0.01,0.0002,0.003492837
234,2.3976,101.982366,BATANG LABU,19/12/2013,2013,II,0.425,0.109,0.095,0.005,0.516,0.06,0.00332,0.002,0.002,0.00248,0.471,0.028,0.00011,1.02E-06,0.011,0.0003,0.02229,0.01223,0.01593,0.0124,0.00166,0.04639,0.05505,0.00154,0.185,0.008,0.0003,0.000872052
235,2.81525,101.512116,LANGAT,10/1/2014,2014,III,0.356,0.087,0.084,0.001,0.3,0.078,0.0065,0.005,0.005,0.00514,0.281,0.007,0,8.50E-09,0.007,0.00088,0.00457,0.00187,0.01593,0.0124,0.00166,0.04639,0.19043,0.00081,0.006,0.011,0.00198,0.001613559
236,2.855566,101.681266,LANGAT,10/1/2014,2014,III,0.38,0.109,0.099,0.019,0.587,0.091,0.00426,0.003,0.003,0.00454,0.229,0.081,0.00005,2.13E-06,0.008,0.00051,0.01629,0.02587,0.01593,0.0124,0.00166,0.04639,0.03777,0.00037,0.103,0.006,0.00034,0.001201416
237,2.992033,101.7858,LANGAT,10/1/2014,2014,III,0.404,0.174,0.163,0.016,0.607,0.093,0.00439,0.003,0.003,0.00439,0.128,0.067,0.00045,4.21E-06,0.006,0.00039,0.01686,0.03222,0.01593,0.0124,0.00166,0.04639,0.03539,0.00097,0.154,0.007,0.00035,0.001279193
238,3.041,101.773133,LANGAT,10/1/2014,2014,III,0.248,0.239,0.215,0.013,0.594,0.094,0.00449,0.003,0.003,0.00418,0.128,0.055,0.00062,0.000016383,0.005,0.00042,0.01629,0.03679,0.01593,0.0124,0.00166,0.04639,0.03868,0.00094,0.149,0.006,0.00036,0.001190085
239,2.888283,101.8289,PAJAM,10/1/2014,2014,III,0.424,0.152,0.147,0.008,0.607,0.18,0.00527,0.004,0.004,0.00417,0.185,0.035,0.00069,1.26E-05,0.014,0.00071,0.03771,0.01989,0.01593,0.0124,0.00166,0.04639,0.02318,0.00056,0.373,0.015,0.00059,0.001547122
240,2.801816,101.791466,BATANG NILAI,10/1/2014,2014,III,0.392,0.283,0.246,0.002,0.61,0.738,0.01165,0.009,0.009,0.00929,0.264,0.009,0.00079,4.26E-06,0.002,0.00393,0.06771,0.04249,0.01593,0.0124,0.00166,0.04639,0.04341,0.00078,0.22,0.014,0.00053,0.005406498
241,2.777683,101.751983,JIJAN,10/1/2014,2014,II,0.586,0.065,0.07,0.012,0.538,0.024,0.0021,0.002,0.001,0.0022,0.191,0.053,0.00002,5.32E-07,0.006,0.0003,0.00343,0.00084,0.01593,0.0124,0.00166,0.04639,0.04912,0.00037,0.111,0.008,0.00034,0.000563805
242,2.777683,101.751983,JIJAN,6/2/2014,2014,II,0.591,0.043,0.066,0.001,0.726,0.047,0.00233,0.002,0.001,0.00122,0.698,0.009,0.00002,7.13E-07,0.013,0.00078,0.01943,0.0028,0.01593,0.0124,0.00166,0.04639,0.11028,0.00087,0.086,0.006,0.0003,0.001020202
243,2.801816,101.791466,BATANG NILAI,6/2/2014,2014,III,0.578,0.348,0.293,0.004,0.745,0.828,0.01222,0.009,0.011,0.01147,0.637,0.019,0.00126,0.000109575,0.006,0.00165,0.102,0.07648,0.01593,0.0124,0.00166,0.04639,0.11133,0.00342,0.18,0.011,0.00032,0.008700561
244,2.81525,101.512116,LANGAT,6/2/2014,2014,III,0.308,0.109,0.1,0.013,0.591,0.063,0.48548,0.453,0.526,0.52692,0.484,0.057,0.00003,5.64E-07,0.003,0.48144,0.00571,0.00952,0.01593,0.0124,0.00166,0.04639,0.13872,0.04104,0,0.242,0.12534,0.426657005
245,2.855566,101.681266,LANGAT,6/2/2014,2014,III,0.347,0.261,0.221,0.037,0.731,0.137,0.00793,0.006,0.007,0.01127,0.564,0.161,0.00001,6.60E-07,0.031,0.00174,0.02229,0.03175,0.01593,0.0124,0.00166,0.04639,0.12159,0.0056,0.36,0.012,0.00116,0.002975448
246,2.855566,101.681266,LANGAT,5/2/2014,2014,III,0.487,0.109,0.134,0.004,0.648,0.267,0.00637,0.005,0.006,0.00642,0.511,0.02,0.00001,2.91E-06,0.009,0.00099,0.02743,0.00084,0.01593,0.0124,0.00166,0.04639,0.01809,0.00504,0.023,0.009,0.00042,0.002078097
247,2.888283,101.8289,PAJAM,6/2/2014,2014,III,0.616,0.174,0.143,0.002,0.672,0.221,0.00691,0.005,0.006,0.00646,0.493,0.013,0.00005,1.37E-06,0.047,0.00124,0.03229,0.04641,0.01593,0.0124,0.00166,0.04639,0.1073,0.00601,0.265,0.017,0.00051,0.002146531
248,2.992033,101.7858,LANGAT,6/2/2014,2014,III,0.25,0.239,0.202,0.008,0.667,0.419,0.00725,0.005,0.007,0.00732,0.342,0.036,0.00065,1.55E-05,0.002,0.00094,0.05743,0.09889,0.01593,0.0124,0.08174,0.04639,0.11653,0.00757,0.089,0.008,0.00054,0.002214939
249,3.008816,101.868916,SEMENYIH,6/2/2014,2014,II,0.593,0.087,0.09,0.007,0.715,0.021,0.00095,0.001,0,0.0008,0.315,0.033,0.00018,1.10E-06,0.002,0,0.01029,0.04753,0.01593,0.0124,0.00166,0.04639,0.0901,0.00077,0.128,0.002,0.00019,0.000165758
250,3.041,101.773133,LANGAT,6/2/2014,2014,III,0.273,0.239,0.197,0.012,0.648,0.408,0.00722,0.005,0.007,0.00806,0.344,0.055,0.00042,1.03E-05,0.002,0.00094,0.062,0.10402,0.07806,0.0124,0.11335,0.04639,0.1187,0.00737,0.103,0.008,0.00052,0.002247264
251,3.111283,101.816816,LANGAT,5/2/2014,2014,I,0.687,0.022,0.053,0.001,0.694,0.004,0.00105,0.001,0,0.00017,0.285,0.006,0.00002,3.30E-07,0.003,0.00008,0.01314,0.00084,0.01593,0.0124,0.00166,0.04639,0.05428,0.00084,0.056,0.003,0.0002,0.000578714
252,3.1674,101.850566,LANGAT,5/2/2014,2014,II,0.638,0.043,0.046,0,0.708,0.014,0.00103,0.001,0,0.00012,0.297,0.003,0.00002,3.54E-07,0.002,0.00008,0.016,0.00084,0.01593,0.0124,0.00166,0.04639,0.07841,0.00089,0.028,0.003,0.00023,0.000500514
253,3.173766,101.86925,LUI,5/2/2014,2014,I,0.662,0.043,0.021,0,0.69,0.005,0.00108,0.001,0,0.00014,0.173,0.002,0.00004,4.03E-07,0.002,0.00008,0.01686,0.00084,0.01593,0.0124,0.00166,0.04639,0.03016,0.00085,0.103,0.003,0.00022,0.000530716
254,2.81525,101.512116,LANGAT,8/3/2014,2014,III,0.312,0.13,0.102,0.029,0.586,0.008,0.99344,0.994,0.839,0.84125,0.448,0.127,0,7.34E-08,0.001,0.94074,0.01286,0.01447,0.01593,0,0.00166,0.04639,0.0366,0.07624,0,0.458,0.26999,0.903702081
255,2.855566,101.681266,LANGAT,8/3/2014,2014,III,0.187,0.283,0.227,0.011,0.669,0.022,0.00821,0.006,0.007,0.00777,0.53,0.049,0.00001,1.56E-06,0.031,0.00478,0.03486,0.01447,0.01593,0.0124,0.00166,0.04639,0.04539,0.0061,0.004,0.015,0.00208,0.006211199
256,2.855566,101.681266,LANGAT,6/3/2014,2014,II,0.505,0.196,0.156,0.007,0.795,0.006,0.00585,0.004,0.005,0.00547,0.582,0.03,0.00001,5.43E-07,0,0.00116,0,0.0592,0.01593,0.0124,0.00166,0.04639,0.01179,0.00273,0,0.006,0.00021,0.001447012
257,2.992033,101.7858,LANGAT,6/3/2014,2014,IV,0.148,0.565,0.496,0.031,0.697,0.343,0.0072,0.005,0.006,0.00958,0.564,0.111,0.0012,0.00027234,0.001,0.0011,0.03686,0.08115,0.01593,0.0124,0.00166,0.04639,0.06686,0.00482,0,0.007,0.00032,0.001689887
258,3.041,101.773133,LANGAT,6/3/2014,2014,IV,0.352,0.348,0.317,0.02,0.665,0.343,0.00702,0.005,0.006,0.00827,0.518,0.121,0.0002,4.26E-06,0.001,0.00108,0.04,0.08059,0.01593,0.0124,0.00166,0.04639,0.0199,0.00469,0,0.009,0.00037,0.001906871
259,2.888283,101.8289,PAJAM,6/3/2014,2014,III,0.585,0.217,0.226,0.012,0.775,0.037,0.00788,0.006,0.007,0.00773,0.846,0.048,0.00003,4.02E-06,0.044,0.00184,0.03857,0.048,0.01593,0.0124,0.00166,0.04639,0.03483,0.00439,0,0.019,0.00038,0.002227452
260,2.801816,101.791466,BATANG NILAI,6/3/2014,2014,III,0.576,0.348,0.404,0.003,0.813,0.66,0.01501,0.011,0.012,0.0125,0.934,0.011,0.0008,4.44E-06,0.017,0.00227,0.172,0.10776,0.01593,0.0124,0.00166,0.04639,0.03333,0.00108,0.008,0.008,0.00011,0.005683444
261,2.81525,101.512116,LANGAT,6/4/2014,2014,III,0.447,0.065,0.088,0.025,0.468,0.041,0.00397,0.003,0.003,0.00547,0.405,0.071,0.00003,8.94E-07,0.004,0.00065,0.01171,0.02129,0.01593,0.0124,0.00166,0.04639,0.07078,0.0059,0.193,0.01,0.00061,0.001316279
262,2.855566,101.681266,LANGAT,6/4/2014,2014,III,0.537,0.174,0.112,0.016,0.548,0.083,0.00501,0.004,0.004,0.00539,0.434,0.062,0.00006,2.09E-06,0.002,0.00069,0.02,0.0352,0.0239,0.0124,0.00166,0.04639,0.06515,0.00748,0.063,0.01,0.00056,0.00174355
263,2.992033,101.7858,LANGAT,2/4/2014,2014,III,0.299,0.261,0.171,0.021,0.628,0.168,0.00545,0.004,0.006,0.00781,0.534,0.106,0.00006,7.02E-07,0.003,0.00084,0.02571,0.04379,0.01593,0.0124,0.00166,0.04639,0.05177,0.00617,0.019,0.01,0.00044,0.001805434
264,3.1674,101.850566,LANGAT,2/4/2014,2014,II,0.668,0.109,0.08,0.001,0.601,0.003,0.00116,0.001,0,0.0003,0.525,0.008,0.00001,5.96E-07,0.001,0.00014,0.00857,0.01793,0.01593,0.0124,0.00166,0.04639,0.05738,0.00109,0.129,0.004,0.00029,0.000541629
265,3.008816,101.868916,SEMENYIH,3/4/2014,2014,II,0.586,0.13,0.096,0.006,0.603,0.003,0.00103,0.001,0.001,0.00137,0.472,0.026,0.0001,1.41E-06,0.007,0.00004,0.01914,0.03418,0.01593,0.0124,0.00166,0.04639,0.07902,0.00077,0.11,0.005,0.00026,0.000505527
266,3.173766,101.86925,LUI,2/4/2014,2014,I,0.66,0.043,0.055,0.001,0.596,0.001,0.00116,0.001,0,0.0003,0.452,0.008,0.00003,3.98E-06,0,0.00013,0.01714,0.01149,0.01593,0.0124,0.00166,0.04639,0.05229,0.00105,0.177,0.005,0.00029,0.000562306
267,3.041,101.773133,LANGAT,2/4/2014,2014,III,0.347,0.239,0.185,0.018,0.564,0.158,0.00535,0.004,0.006,0.00761,0.496,0.088,0.00005,6.81E-07,0.003,0.00081,0.02857,0.04408,0.01593,0.0124,0.00166,0.04639,0.05533,0.00586,0.024,0.01,0.00045,0.001859298
268,3.111283,101.816816,LANGAT,2/4/2014,2014,II,0.682,0.087,0.071,0.004,0.632,0.007,0.00126,0.001,0.001,0.00083,0.514,0.01,0.00003,0.000000617,0.001,0.00018,0.01143,0.02465,0.01593,0.0124,0.00166,0.04639,0.04235,0.00112,0.157,0.005,0.00025,0.000612837
269,2.888283,101.8289,PAJAM,6/4/2014,2014,III,0.509,0.13,0.094,0.024,0.573,0.137,0.006,0.004,0.006,0.0081,0.35,0.085,0.01276,0.015319149,0.009,0.00102,0.03114,0.04426,0.01593,0.0124,0.00166,0.04639,0.08392,0.00615,0.364,0.023,0.0007,0.002321589
270,2.801816,101.791466,BATANG NILAI,6/4/2014,2014,III,0.562,0.261,0.185,0.001,0.562,0.626,0.01181,0.009,0.011,0.0109,0.389,0.009,0.00109,0.000004883,0.005,0.00148,0.076,0.09301,0.01593,0.0124,0.00166,0.04639,0.11821,0.0054,0.356,0.016,0.00049,0.009750796
271,2.777683,101.751983,JIJAN,6/4/2014,2014,II,0.655,0.065,0.07,0.036,0.598,0.016,0.00204,0.002,0.002,0.00544,0.293,0.163,0.00011,1.66E-06,0.002,0.00068,0.01371,0.01438,0.01593,0.0124,0.00624,0.04639,0.07385,0.00202,0.372,0.011,0.00035,0.000645734
272,2.81525,101.512116,LANGAT,9/5/2014,2014,III,0.38,0.109,0.087,0.001,0.174,0.084,0.02693,0.021,0.025,0.02468,0.677,0.007,0,0,0.004,0.01697,0.00914,0.00084,0.01593,0.19421,0.00166,0.04639,0.27563,0.00695,0.014,0.022,0.0073,0.01894643
273,2.855566,101.681266,LANGAT,9/5/2014,2014,III,0.3,0.109,0.08,0.019,0.55,0.039,0.00311,0.002,0.002,0.00402,0.427,0.071,0.00002,5.53E-07,0.007,0.00028,0.008,0.00682,0.01593,0.0124,0.00166,0.04639,0.06528,0.00378,0.086,0.005,0.00051,0.000880901
274,2.855566,101.681266,LANGAT,9/5/2014,2014,III,0.416,0.174,0.132,0.036,0.566,0.036,0.00311,0.002,0.002,0.00589,0.466,0.183,0.00024,0.000003617,0.009,0.0003,0.01429,0.02885,0.01593,0.0124,0.00166,0.04639,0.0391,0.00434,0.162,0.006,0.00034,0.00084443
275,2.992033,101.7858,LANGAT,7/5/2014,2014,III,0.266,0.326,0.252,0.008,0.538,0.231,0.00676,0.005,0.007,0.00736,0.602,0.039,0.00138,1.26E-05,0.002,0.00132,0.03143,0.09067,0.01593,0.0124,0.02121,0.04639,0.05035,0.00894,0.203,0.012,0.00057,0.002316063
276,2.892483,101.0836,SEMENYIH,7/5/2014,2014,III,0.418,0.174,0.146,0.02,0.587,0.01,0.0034,0.002,0.002,0.00428,0.63,0.117,0.00005,2.34E-06,0.01,0.0006,0.03257,0.06518,0.01593,0.0124,0.00021,0.04639,0.05341,0.00338,0.523,0.01,0.00046,0.001816474
277,3.041,101.773133,LANGAT,7/5/2014,2014,IV,0.238,0.348,0.306,0.012,0.523,0.155,0.00673,0.005,0.006,0.00757,0.571,0.063,0.00162,1.17E-05,0,0.00089,0.02886,0.09263,0.01593,0.0124,0.02163,0.04639,0.04815,0.00907,0.207,0.012,0.00059,0.002299274
278,2.888283,101.8289,PAJAM,7/5/2014,2014,III,0.458,0.283,0.226,0.074,0.573,0.122,0.00519,0.004,0.005,0.01316,0.775,0.396,0.001,3.06E-06,0.027,0.0008,0.03171,0.05014,0.01593,0.0124,0.01643,0.04639,0.06682,0.00539,0.741,0.017,0.00061,0.001935857
279,2.801816,101.791466,BATANG NILAI,7/5/2014,2014,III,0.599,0.5,0.322,0.002,0.625,0.284,0.01045,0.008,0.01,0.00966,1,0.009,0.00083,0.000002383,0.006,0.00149,0.11257,0.11514,0.01593,0.0124,0.00166,0.04639,0.03847,0.00462,0.423,0.015,0.0005,0.008555144
280,2.787183,101.750766,BATANG LABU,7/5/2014,2014,III,0.437,0.196,0.165,0.017,0.621,0.029,0.00368,0.003,0.002,0.00416,0.859,0.066,0.00023,2.13E-06,0.005,0.00062,0.01971,0.02362,0.01593,0.0124,0.00166,0.04639,0.04674,0.00312,0.296,0.008,0.0004,0.002216051
281,2.855566,101.681266,LANGAT,6/6/2014,2014,III,0.351,0.13,0.1,0.02,0.58,0.072,0.00436,0.003,0.003,0.00523,0.505,0.073,0.00002,1.57E-06,0.012,0.00082,0.024,0.01662,0.01593,0.0124,0.00166,0.04639,0.05074,0.00344,0.127,0.009,0.00054,0.001367515
282,2.855566,101.681266,LANGAT,6/6/2014,2014,III,0.498,0.348,0.277,0.025,0.575,0.06,0.00342,0.002,0.002,0.00498,0.457,0.114,0.00045,0.000016383,0.009,0.00042,0.03,0.04501,0.01593,0.0124,0.00166,0.04639,0.07408,0.00346,0.179,0.007,0.00026,0.000972087
283,2.992033,101.7858,LANGAT,6/6/2014,2014,III,0.508,0.239,0.207,0.016,0.635,0.105,0.00322,0.002,0.003,0.00426,0.333,0.08,0.00162,1.79E-05,0.007,0.0005,0.03286,0.04071,0.01593,0.0124,0.00166,0.04639,0.07393,0.00318,0.119,0.01,0.00027,0.001206159
