ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TEMP,TUR,E-coli,Coliform
578,2.992033,101.7858,LANGAT,3/3/2017,2017,III,0.348,0.13,0.094,0.051,0.587,0.155,0.00449,0.003,0.00313,0.408,0.044,0.00072,0.000129787
579,3.041,101.77313,LANGAT,3/3/2017,2017,III,0.294,0.13,0.112,0.083,0.724,0.095,0.00269,0.002,0.00156,0.341,0.064,0.00022,4.8723E-06
580,2.888283,101.8289,PAJAM,3/3/2017,2017,III,0.614,0.109,0.112,0.014,0.601,0.194,0.00767,0.006,0.00704,0.523,0.009,0.00019,2.4681E-06
581,2.801817,101.791467,BATANG NILAI,3/3/2017,2017,III,0.779,0.087,0.064,0.007,0.623,0.337,0.00978,0.007,0.00898,0.599,0.005,0.00006,1.6809E-06
582,2.855567,101.68127,LANGAT,7/4/2017,2017,III,0.48,0.174,0.179,0.067,0.555,0.096,0.00551,0.004,0.00535,0.637,0.074,0.00002,1.362E-07
583,2.855567,101.68127,LANGAT,7/4/2017,2017,III,0.561,0.174,0.143,0.097,0.596,0.088,0.00389,0.003,0.00276,0.483,0.113,0.00001,5.532E-07
584,2.992033,101.7858,LANGAT,7/4/2017,2017,III,0.403,0.152,0.119,0.064,0.605,0.124,0.00426,0.003,0.00305,0.443,0.056,0.00007,7.021E-07
585,2.892483,101.0836,SEMENYIH,7/4/2017,2017,III,0.512,0.13,0.167,0.054,0.713,0.014,0.00407,0.003,0.00284,0.424,0.057,0.00172,0.002095703
586,3.041,101.77313,LANGAT,7/4/2017,2017,II,0.653,0.087,0.082,0.049,0.664,0.077,0.00259,0.002,0.00206,0.382,0.062,0.00009,0.000001234
587,2.888283,101.8289,PAJAM,7/4/2017,2017,III,0.472,0.152,0.198,0.071,0.632,0.201,0.00756,0.006,0.00721,0.442,0.046,0.0002,2.5532E-06
588,2.801817,101.79147,BATANG NILAI,7/4/2017,2017,IV,0.283,0.239,0.173,0.035,0.626,0.391,0.00595,0.004,0.00589,0.443,0.044,0.00072,7.6596E-06
589,2.787183,101.750767,BATANG LABU,7/4/2017,2017,III,0.494,0.174,0.149,0.148,0.623,0.118,0.00381,0.003,0.00268,0.446,0.177,0.00013,2.6809E-06
590,2.970669,101.693313,CHUAU,7/4/2017,2017,I,0.545,0.043,0.046,0.001,0.63,0.001,0.00167,0.001,0.00082,0.677,0.004,0,1.585E-07
591,2.888253,101.829003,BERANANG,7/8/2017,2017,III,0.241,0.065,0.064,0.103,0.605,0.045,0.00398,0.003,0.00276,0.745,0.108,0,6.596E-07
592,2.815335,101.512831,LANGAT,5/10/2017,2017,III,0.254,0.065,0.064,0.007,0.287,0.182,0.00828,0.006,0.00898,0.445,0.003,0,1.91E-08
593,2.895012,101.68419,CHUAU,5/9/2017,2017,II,0.693,0.065,0.082,0.004,0.873,0.005,0.00262,0.002,0.00165,0.608,0.003,0,1.0426E-06
594,2.970669,101.693313,CHUAU,3/11/2017,2017,II,0.387,0.087,0.094,0.001,0.674,0.007,0.00178,0.001,0.00099,0.425,0.007,0,1.489E-07
595,2.815335,101.512831,LANGAT,1/8/2017,2017,III,0.27,0.109,0.058,0.039,0.561,0.297,0.01011,0.007,0.01145,0.71,0.045,0,9.36E-08
596,2.787198,101.751546,BATANG LABU,7/8/2017,2017,III,0.446,0.174,0.125,0.028,0.594,0.236,0.004,0.003,0.0028,0.483,0.032,0,2.106E-07
597,2.892121,101.749958,SEMENYIH,4/10/2017,2017,III,0.466,0.174,0.173,0.038,0.63,0.065,0.00368,0.003,0.00259,0.376,0.054,0,6.383E-07
598,2.861724,101.81654,PAJAM,10/8/2017,2017,III,0.492,0.196,0.149,0.038,0.681,0.406,0.00812,0.006,0.00795,0.692,0.024,1,0.170212766
599,2.861724,101.81654,PAJAM,6/10/2017,2017,III,0.427,0.478,0.246,0.018,0.628,0.607,0.01416,0.011,0.00828,0.748,0.027,0.07586,1
600,3.01511,101.767694,BALAK,2/8/2017,2017,III,0.272,0.326,0.155,0.015,0.612,0.925,0.00872,0.007,0.00889,0.534,0.024,0.01086,0.001234043
601,2.993079,101.785532,LANGAT,2/8/2017,2017,IV,0.24,0.304,0.137,0.029,0.596,0.401,0.00618,0.004,0.0063,0.449,0.05,0.00759,0.000191489
602,3.01511,101.767694,BALAK,6/10/2017,2017,III,0.239,0.109,0.088,0.028,0.648,0.753,0.0085,0.006,0.00202,0.785,0.027,0.00707,0.021276596
603,2.993079,101.785532,LANGAT,6/10/2017,2017,III,0.451,0.065,0.052,0.021,0.628,0.295,0.00519,0.004,0.00354,0.635,0.038,0.00114,8.7234E-06
604,3.068323,101.771511,SERING,28/11/2017,2017,III,0.592,0.109,0.088,0.039,0.665,0.203,0.00352,0.002,0.00243,0.417,0.091,0.001,9.7872E-06
605,3.01511,101.767694,BALAK,6/12/2017,2017,III,0.492,0.283,0.24,0.015,0.644,0.815,0.00845,0.006,0.00898,0.858,0.022,0.00088,0.000012766
606,3.047051,101.776908,LANGAT,6/10/2017,2017,III,0.489,0.065,0.082,0.027,0.619,0.175,0.0029,0.002,0.00181,0.538,0.035,0.00078,3.5319E-06
607,2.964141,101.783797,LANGAT,8/8/2017,2017,IV,0.143,0.152,0.143,0.022,0.58,0.374,0.0073,0.005,0.00708,0.449,0.037,0.00078,0.000131915
608,2.964141,101.783797,LANGAT,7/12/2017,2017,III,0.233,0.261,0.155,0.016,0.568,0.186,0.00488,0.004,0.00552,0.566,0.045,0.00076,2.46809E-05
609,3.040719,101.77367,LANGAT,6/10/2017,2017,III,0.54,0.065,0.082,0.014,0.63,0.194,0.00314,0.002,0.00181,0.564,0.042,0.0006,1.10638E-05
610,2.964141,101.783797,LANGAT,6/10/2017,2017,III,0.424,0.065,0.082,0.014,0.648,0.361,0.00597,0.004,0.00663,0.672,0.026,0.00059,2.5957E-06
611,3.067411,101.775484,BATANG LABU,28/11/2017,2017,III,0.574,0.109,0.094,0.026,0.648,0.258,0.00323,0.002,0.00247,0.408,0.059,0.00059,3.0638E-06
612,2.78164,101.798345,BATANG LABU,7/8/2017,2017,II,0.607,0.13,0.1,0.01,0.596,0.019,0.00215,0.002,0.00132,0.53,0.017,0.00053,1.7021E-06
613,2.91837,101.86272,RINCHING,7/12/2017,2017,II,0.552,0.109,0.112,0.009,0.543,0.143,0.00277,0.002,0.00194,0.596,0.024,0.00052,2.2128E-06
614,3.067411,101.775484,BATANG LABU,8/12/2017,2017,III,0.382,0.283,0.21,0.015,0.564,0.477,0.00613,0.004,0.00634,0.498,0.014,0.00052,2.0426E-06
615,2.848104,101.824531,BATANG BENAR,6/10/2017,2017,III,0.515,0.087,0.076,0.006,0.665,0.329,0.00748,0.006,0.00317,0.421,0.008,0.00047,3.1064E-06
616,3.068323,101.771511,SERING,8/12/2017,2017,III,0.538,0.283,0.216,0.013,0.626,0.402,0.00575,0.004,0.00597,0.487,0.021,0.00047,2.2128E-06
617,2.814387,101.81132,BATANG NILAI,6/10/2017,2017,III,0.561,0.152,0.112,0.013,0.825,0.139,0.02396,0.018,0.01491,0.469,0.015,0.00043,1.6809E-06
618,2.994563,101.783654,BATANG LABU,28/11/2017,2017,III,0.506,0.109,0.112,0.029,0.674,0.09,0.00322,0.002,0.0007,0.342,0.091,0.00034,0.000002766
619,2.801874,101.791659,BATANG NILAI,7/8/2017,2017,III,0.347,0.174,0.143,0.009,0.637,0.925,0.00813,0.006,0.00745,0.642,0.018,0.00022,3.0638E-06
620,2.801874,101.791659,BATANG NILAI,4/10/2017,2017,III,0.498,0.239,0.204,0.009,0.703,0.428,0.00769,0.006,0.00852,0.42,0.009,0.0002,1.6809E-06
621,2.861724,101.81654,PAJAM,5/12/2017,2017,III,0.537,0.239,0.173,0.021,0.559,0.324,0.00841,0.006,0.0131,0.782,0.02,0.00019,5.9574E-06
622,3.040719,101.77367,LANGAT,2/8/2017,2017,III,0.5,0.087,0.07,0.046,0.61,0.308,0.00414,0.003,0.00296,0.436,0.053,0.00018,1.6383E-06
623,2.787198,101.751546,BATANG LABU,4/10/2017,2017,III,0.405,0.174,0.204,0.021,0.626,0.18,0.00409,0.003,0.00284,0.415,0.037,0.00017,2.9787E-06
624,2.946371,101.847649,SEMENYIH,6/10/2017,2017,II,0.571,0.065,0.064,0.089,0.63,0.054,0.00166,0.001,0.00078,0.469,0.12,0.00016,1.6383E-06
625,2.888253,101.829003,BERANANG,6/10/2017,2017,II,0.496,0.087,0.058,0.045,0.649,0.039,0.00323,0.002,0.00198,0.508,0.056,0.00016,7.4468E-06
626,2.993079,101.785532,LANGAT,6/12/2017,2017,III,0.44,0.174,0.155,0.043,0.609,0.156,0.00509,0.004,0.00461,0.625,0.035,0.00016,1.5745E-06
627,2.892121,101.749958,SEMENYIH,4/12/2017,2017,III,0.538,0.196,0.234,0.104,0.584,0.066,0.00104,0.001,0.00659,0.403,0.175,0.00014,2.5957E-06
628,3.040719,101.77367,LANGAT,6/12/2017,2017,III,0.642,0.152,0.137,0.093,0.584,0.129,0.00249,0.002,0.00148,0.558,0.121,0.00013,8.936E-07
629,2.946371,101.847649,SEMENYIH,7/12/2017,2017,II,0.632,0.065,0.082,0.018,0.557,0.045,0.0013,0.001,0.00082,0.54,0.028,0.00013,1.1064E-06
630,2.8922,101.764339,BUAN,8/8/2017,2017,III,0.483,0.152,0.149,0.006,0.609,0.245,0.02551,0.02,0.02281,0.403,0.012,0.00013,1.1702E-06
631,3.111312,101.816819,LANGAT,6/10/2017,2017,II,0.67,0.065,0.088,0.016,0.665,0.013,0.00112,0.001,0.00041,0.602,0.013,0.00011,2.2128E-06
632,3.047051,101.776908,LANGAT,6/12/2017,2017,III,0.6,0.174,0.155,0.087,0.568,0.093,0.00204,0.002,0.00128,0.487,0.139,0.00011,1.5745E-06
633,2.801874,101.791659,BATANG NILAI,5/12/2017,2017,III,0.794,0.087,0.076,0.006,0.662,0.295,0.00634,0.005,0.00692,0.702,0.008,0.0001,4.1702E-06
634,2.994563,101.783654,BATANG LABU,6/12/2017,2017,III,0.471,0.152,0.173,0.036,0.578,0.176,0.00371,0.003,0.00272,0.639,0.047,0.0001,1.1915E-06
635,3.06859,101.786005,BATANG LABU,28/11/2017,2017,III,0.708,0.13,0.155,0.06,0.703,0.021,0.00142,0.001,0.00313,0.301,0.093,0.0001,8.511E-07
636,3.111312,101.816819,LANGAT,2/8/2017,2017,II,0.676,0.065,0.082,0.021,0.656,0.008,0.00106,0.001,0.00041,0.478,0.027,0.00009,1.4681E-06
637,2.813262,101.642225,BATANG LABU,28/11/2017,2017,III,0.674,0.13,0.155,0.181,0.651,0.012,0.00254,0.002,0.00152,0.328,0.216,0.00009,1.7021E-06
638,2.91837,101.86272,RINCHING,6/10/2017,2017,II,0.583,0.065,0.064,0.012,0.623,0.062,0.00312,0.002,0.00189,0.61,0.011,0.00009,2.0426E-06
639,2.877132,101.839741,PAJAM,6/10/2017,2017,III,0.522,0.087,0.07,0.022,0.66,0.112,0.00454,0.003,0.00206,0.506,0.045,0.00008,1.23404E-05
640,2.787198,101.751546,BATANG LABU,5/12/2017,2017,II,0.567,0.065,0.052,0.019,0.591,0.083,0,0,0.00214,0.558,0.027,0.00007,7.872E-07
641,2.813262,101.642225,BATANG LABU,4/12/2017,2017,III,0.474,0.196,0.258,0.142,0.582,0.142,0.00352,0.002,0.00259,0.522,0.181,0.00007,5.8723E-06
642,2.855499,101.681547,LANGAT,4/12/2017,2017,III,0.443,0.196,0.252,0.157,0.598,0.107,0.00301,0.002,0.00259,0.456,0.205,0.00007,1.8723E-06
643,2.7872,101.701531,BATANG LABU,4/12/2017,2017,III,0.551,0.217,0.167,0.046,0.562,0.059,0.00222,0.002,0.00144,0.494,0.1,0.00007,4.2553E-06
644,3.111312,101.816819,LANGAT,8/12/2017,2017,II,0.676,0.087,0.131,0.027,0.561,0.005,0.00093,0.001,0.00029,0.361,0.027,0.00006,5.319E-07
645,3.06859,101.786005,BATANG LABU,6/12/2017,2017,III,0.655,0.304,0.343,0.302,0.532,0.042,0.00139,0.001,0.00115,0.566,0.43,0.00006,1.3191E-06
646,2.877132,101.839741,PAJAM,5/12/2017,2017,II,0.551,0.065,0.094,0.026,0.559,0.062,0.003,0.002,0.00259,0.632,0.062,0.00005,6.809E-07
647,2.8922,101.764339,BUAN,4/12/2017,2017,III,0.589,0.174,0.149,0.04,0.568,0.087,0.00549,0.004,0.00622,0.547,0.083,0.00005,4.0851E-06
648,2.777479,101.752031,JIJAN,7/8/2017,2017,II,0.588,0.065,0.076,0.007,0.612,0.047,0.00238,0.002,0.00152,0.436,0.025,0.00004,5.532E-07
649,3.173894,101.869146,RINCHING,6/10/2017,2017,II,0.672,0.087,0.076,0.003,0.703,0.005,0.00089,0.001,0.00025,0.445,0.005,0.00004,1.1702E-06
650,3.173894,101.869146,RINCHING,2/8/2017,2017,II,0.663,0.109,0.076,0.002,0.649,0.001,0.00101,0.001,0.00037,0.337,0.005,0.00004,7.872E-07
651,3.097682,101.805301,BATANG LABU,8/12/2017,2017,II,0.707,0.196,0.179,0.073,0.632,0.005,0.00111,0.001,0.00037,0.337,0.039,0.00004,9.787E-07
652,3.008812,101.868933,SEMENYIH,2/8/2017,2017,II,0.623,0.087,0.076,0.049,0.609,0.027,0.00098,0.001,0.00037,0.46,0.061,0.00004,7.447E-07
653,2.814387,101.81132,BATANG NILAI,7/8/2017,2017,III,0.498,0.174,0.143,0.005,0.798,0.234,0.0243,0.019,0.02051,0.629,0.006,0.00004,1.6809E-06
654,3.167259,101.850525,LANGAT,2/8/2017,2017,II,0.696,0.065,0.058,0.004,0.665,0.003,0.00094,0.001,0.00033,0.483,0.005,0.00004,1.2553E-06
655,2.877132,101.839741,PAJAM,7/8/2017,2017,III,0.293,0.109,0.119,0.017,0.612,0.107,0.00495,0.004,0.00358,0.751,0.023,0.00004,1.4681E-06
656,3.008812,101.868933,SEMENYIH,6/10/2017,2017,II,0.582,0.152,0.112,0.016,0.573,0.029,0.00092,0.001,0.00025,0.584,0.026,0.00004,1.2553E-06
657,3.008812,101.868933,SEMENYIH,7/12/2017,2017,II,0.714,0.043,0.058,0.016,0.626,0.023,0.00084,0,0.00041,0.583,0.019,0.00003,7.234E-07
658,2.78164,101.798345,BATANG LABU,4/10/2017,2017,II,0.618,0.239,0.204,0.009,0.676,0.005,0.00214,0.002,0.00136,0.397,0.018,0.00003,1.2553E-06
659,3.173894,101.869146,RINCHING,7/12/2017,2017,II,0.7,0.043,0.058,0.004,0.562,0.003,0.00091,0.001,0.00033,0.456,0.004,0.00003,0.000000766
660,2.848104,101.824531,BATANG BENAR,5/12/2017,2017,III,0.556,0.152,0.106,0.014,0.61,0.313,0.00637,0.005,0.00688,0.541,0.016,0.00003,4.9362E-06
661,2.855499,101.681547,LANGAT,1/8/2017,2017,III,0.454,0.087,0.058,0.029,0.587,0.365,0.00624,0.004,0.00675,0.687,0.024,0.00003,7.021E-07
662,2.976173,101.701886,ANAK CHUAU,3/11/2017,2017,III,0.313,0.13,0.143,0.005,0.66,0.188,0.00357,0.002,0.00243,0.497,0.023,0.00003,2.426E-07
663,2.892121,101.749958,SEMENYIH,1/8/2017,2017,III,0.409,0.087,0.058,0.052,0.554,0.072,0.00396,0.003,0.00296,0.592,0.079,0.00002,7.447E-07
664,3.167259,101.850525,LANGAT,6/10/2017,2017,II,0.663,0.152,0.143,0.002,0.696,0.003,0.00086,0.001,0.00021,0.554,0.002,0.00002,1.4255E-06
665,3.097682,101.805301,BATANG LABU,28/11/2017,2017,II,0.688,0.109,0.112,0.018,0.646,0.021,0.00076,0,0.00066,0.407,0.034,0.00002,1.0638E-06
666,2.78164,101.798345,BATANG LABU,4/12/2017,2017,II,0.648,0.109,0.106,0.017,0.554,0.01,0.00219,0.002,0.00136,0.515,0.037,0.00002,1.8723E-06
667,2.888253,101.829003,BERANANG,5/12/2017,2017,III,0.569,0.152,0.222,0.062,0.575,0.023,0.0027,0.002,0.00173,0.58,0.098,0.00002,1.1064E-06
668,2.814387,101.81132,BATANG NILAI,5/12/2017,2017,III,0.558,0.261,0.277,0.012,0.651,0.079,0.01444,0.011,0.01478,0.581,0.014,0.00002,2.4681E-06
669,2.892928,101.696742,LIMAU MANIS,7/7/2017,2017,III,0.583,0.152,0.167,0.39,0.614,0.056,0.00346,0.002,0.00231,0.563,0.68,0.00002,1.3404E-06
670,2.87611,101.451639,LANGAT,1/8/2017,2017,II,0.508,0.043,0.046,0.01,0.672,0.047,0.82114,0.8,0.82705,0.889,0.009,0.00001,4.681E-07
671,2.7872,101.701531,BATANG LABU,4/10/2017,2017,III,0.23,0.239,0.222,0.011,0.593,0.063,0.00318,0.002,0.00206,0.406,0.048,0.00001,7.4468E-06
672,2.976173,101.701886,ANAK CHUAU,7/7/2017,2017,II,0.721,0.109,0.131,0.006,0.758,0.077,0.00424,0.003,0.00284,0.89,0.035,0.00001,0.000000883
673,2.976173,101.701886,ANAK CHUAU,5/9/2017,2017,III,0.461,0.043,0.046,0.022,0.777,0.209,0.00701,0.005,0.00696,0.567,0.024,0.00001,3.298E-07
674,2.815335,101.512831,LANGAT,7/8/2017,2017,III,0.355,0.065,0.058,0.015,0.715,0.117,0.00378,0.003,0.00284,0.506,0.026,0.00001,1.468E-07
675,2.892928,101.696742,LIMAU MANIS,5/9/2017,2017,II,0.617,0.065,0.058,0.016,0.687,0.066,0.00507,0.004,0.00366,0.373,0.027,0.00001,1.1915E-06
676,2.777479,101.752031,JIJAN,4/12/2017,2017,II,0.633,0.087,0.112,0.03,0.522,0.046,0.00181,0.001,0.00111,0.516,0.072,0.00001,2.1277E-06
677,2.8922,101.764339,BUAN,4/10/2017,2017,III,0.578,0.109,0.131,0.029,0.619,0.256,0.03848,0.03,0.03854,0.426,0.011,0.00001,6.809E-07
678,2.91837,101.86272,RINCHING,7/8/2017,2017,III,0.358,0.217,0.143,0.002,0.57,0.153,0.00333,0.002,0.00214,0.71,0.01,0.00001,1.4894E-06
679,3.167259,101.850525,LANGAT,8/12/2017,2017,II,0.71,0.283,0.234,0.004,0.619,0.001,0.00085,0.001,0.00021,0.376,0.007,0.00001,1.0638E-06
680,2.970669,101.693313,CHUAU,5/9/2017,2017,II,0.408,0.043,0.052,0.001,0.701,0.002,0.00173,0.001,0.00095,0.466,0.008,0.00001,2.383E-07
681,2.87611,101.451639,LANGAT,5/10/2017,2017,III,0.168,0.152,0.143,0.019,0.497,0.05,0.56699,0.536,0.62115,0.507,0.091,0.00001,5.532E-07
682,2.855499,101.681547,LANGAT,4/10/2017,2017,III,0.407,0.196,0.167,0.036,0.681,0.293,0.00572,0.004,0.00898,0.475,0.06,0.00001,9.149E-07
683,2.848104,101.824531,BATANG BENAR,7/8/2017,2017,III,0.33,0.109,0.1,0.007,0.662,0.263,0.00823,0.006,0.00758,0.782,0.019,0.00001,2.4255E-06
684,2.895012,101.68419,CHUAU,7/7/2017,2017,II,0.667,0.043,0.046,0.003,0.71,0.019,0.00224,0.002,0.00132,0.616,0.003,0.00001,6.809E-07
685,2.815335,101.512831,LANGAT,4/12/2017,2017,III,0.394,0.152,0.198,0.078,0.587,0.171,0.00275,0.002,0.00671,0.579,0.175,0.00001,6.383E-07
686,2.87611,101.451639,LANGAT,6/12/2017,2017,III,0.406,0.065,0.076,0.08,0.511,0.065,0.49067,0.456,0.6088,0.69,0.094,0,3.064E-07
687,2.946371,101.847649,SEMENYIH,8/8/2017,2017,II,0.593,0.087,0.1,0.02,0.607,0.065,0.00165,0.001,0.00091,0.291,0.026,0,1.0426E-06
688,2.777479,101.752031,JIJAN,4/10/2017,2017,II,0.593,0.196,0.149,0.007,0.628,0.058,0.00244,0.002,0.00148,0.41,0.047,0,7.234E-07
689,2.892928,101.696742,LIMAU MANIS,3/11/2017,2017,III,0.616,0.196,0.155,0.048,0.587,0.143,0.0039,0.003,0.00272,0.374,0.065,0,1.7021E-06
690,2.895012,101.68419,CHUAU,3/11/2017,2017,II,0.66,0.109,0.094,0.001,0.68,0.012,0.00262,0.002,0.00181,0.577,0.003,0,5.532E-07
691,2.976173,101.701886,ANAK CHUAU,5/1/2018,2018,III,0.461,0.065,0.082,0.008,0.676,0.124,0.00466,0.003,0.00296,0.481,0.021,0.00004,1.957E-07
692,2.970669,101.693313,CHUAU,5/1/2018,2018,II,0.493,0.043,0.058,0.005,0.711,0.005,0.00224,0.002,0.00111,0.403,0.009,0,1.489E-07
693,2.892928,101.696742,LIMAU MANIS,5/1/2018,2018,II,0.607,0.152,0.082,0.013,0.658,0.076,0.00435,0.003,0.00305,0.383,0.021,0.00001,9.362E-07
694,2.895012,101.68419,CHUAU,5/1/2018,2018,II,0.715,0.109,0.076,0.004,0.759,0.012,0.00246,0.002,0.00156,0.48,0.001,0,1.1064E-06
695,2.87611,101.451639,LANGAT,5/2/2018,2018,III,0.261,0.13,0.131,0.012,0.63,0.034,0.49034,0.457,0.56762,0.547,0.018,0.00002,1.06383E-05
696,2.815335,101.512831,LANGAT,5/2/2018,2018,III,0.318,0.109,0.094,0.024,0.506,0.08,0.00723,0.005,0.00939,0.537,0.033,0,6.81E-08
697,2.813262,101.642225,BATANG LABU,5/2/2018,2018,III,0.53,0.13,0.112,0.025,0.748,0.082,0.005,0.004,0.00325,0.694,0.039,0.00001,1.702E-07
698,2.855499,101.681547,LANGAT,5/2/2018,2018,III,0.558,0.109,0.094,0.019,0.741,0.081,0.00429,0.003,0.00268,0.567,0.043,0.00004,9.787E-07
699,2.892121,101.749958,SEMENYIH,5/2/2018,2018,II,0.556,0.065,0.082,0.028,0.736,0.026,0.00322,0.002,0.00185,0.412,0.056,0.00004,5.532E-07
700,2.8922,101.764339,BUAN,5/2/2018,2018,II,0.552,0.087,0.07,0.019,0.695,0.082,0.03487,0.027,0.03459,0.653,0.025,0.00001,1.7021E-06
701,2.7872,101.701531,BATANG LABU,5/2/2018,2018,III,0.502,0.13,0.112,0.013,0.708,0.073,0.00413,0.003,0.00239,0.568,0.025,0.00005,8.298E-07
702,2.777479,101.752031,JIJAN,7/2/2018,2018,II,0.7,0.087,0.1,0.003,0.646,0.04,0.00252,0.002,0.00169,0.386,0.012,0.00001,5.362E-07
703,2.787198,101.751546,BATANG LABU,7/2/2018,2018,III,0.537,0.13,0.119,0.008,0.597,0.151,0.00374,0.003,0.00251,0.296,0.02,0.00001,0.000000134
704,2.78164,101.798345,BATANG LABU,7/2/2018,2018,II,0.699,0.065,0.058,0.004,0.611,0.003,0.0021,0.002,0.00115,0.366,0.008,0.00002,7.021E-07
705,2.801874,101.791659,BATANG NILAI,7/2/2018,2018,III,0.602,0.109,0.058,0.005,0.689,0.472,0.0096,0.007,0.01054,0.383,0.012,0.0006,4.6809E-06
706,2.814387,101.81132,BATANG NILAI,7/2/2018,2018,III,0.432,0.152,0.119,0.009,0.761,0.108,0.02189,0.017,0.02314,0.351,0.009,0.00009,1.2128E-06
707,2.861724,101.81654,PAJAM,7/2/2018,2018,III,0.437,0.304,0.24,0.058,0.639,0.607,0.02218,0.017,0.02248,0.72,0.042,0.00033,2.4681E-06
708,2.848104,101.824531,BATANG BENAR,7/2/2018,2018,II,0.64,0.065,0.058,0.007,0.713,0.173,0.00671,0.005,0.00754,0.439,0.011,0.0001,1.1277E-06
709,2.877132,101.839741,PAJAM,7/2/2018,2018,II,0.568,0.043,0.07,0.013,0.699,0.047,0.00405,0.003,0.00272,0.541,0.02,0.00011,5.957E-07
710,2.888253,101.829003,BERANANG,7/2/2018,2018,II,0.558,0.065,0.082,0.039,0.68,0.016,0.00266,0.002,0.00156,0.415,0.07,0.00006,0.000000766
711,2.994563,101.783654,BATANG LABU,8/2/2018,2018,III,0.463,0.109,0.088,0.025,0.608,0.141,0.00455,0.003,0.00313,0.434,0.046,0.00045,2.1702E-06
712,2.993079,101.785532,LANGAT,8/2/2018,2018,III,0.442,0.087,0.076,0.009,0.619,0.148,0.00458,0.003,0.00313,0.399,0.033,0.0004,2.1064E-06
713,3.01511,101.767694,BALAK,8/2/2018,2018,III,0.27,0.065,0.058,0.03,0.636,0.66,0.00919,0.007,0.0105,0.529,0.058,0.00097,1.06383E-05
714,3.040719,101.77367,LANGAT,8/2/2018,2018,II,0.668,0.065,0.082,0.025,0.661,0.118,0.00269,0.002,0.00161,0.375,0.033,0.00012,1.2766E-06
715,3.06859,101.786005,BATANG LABU,8/2/2018,2018,II,0.724,0.065,0.052,0.075,0.727,0.021,0.00156,0.001,0.0007,0.332,0.157,0.00007,7.447E-07
716,3.047051,101.776908,LANGAT,8/2/2018,2018,II,0.641,0.065,0.064,0.006,0.668,0.084,0.00241,0.002,0.00136,0.375,0.019,0.00011,2.0426E-06
717,2.964141,101.783797,LANGAT,8/2/2018,2018,III,0.364,0.087,0.088,0.015,0.7,0.145,0.00483,0.004,0.00334,0.532,0.041,0.00028,2.9787E-06
718,2.91837,101.86272,RINCHING,9/2/2018,2018,III,0.631,0.087,0.112,0.093,0.588,0.053,0.00261,0.002,0.00148,0.368,0.125,0.00001,2.2128E-06
719,2.946371,101.847649,SEMENYIH,9/2/2018,2018,II,0.647,0.065,0.082,0.017,0.623,0.028,0.00142,0.001,0.00058,0.382,0.03,0.00001,1.4043E-06
720,3.008812,101.868933,SEMENYIH,9/2/2018,2018,II,0.724,0.065,0.094,0.016,0.696,0.018,0.00097,0.001,0.00016,0.411,0.026,0.00001,7.447E-07
721,3.173894,101.869146,RINCHING,9/2/2018,2018,II,0.739,0.065,0.076,0.003,0.719,0.001,0.00097,0.001,0.00025,0.311,0.005,0.00001,1.0638E-06
722,3.167259,101.850525,LANGAT,10/2/2018,2018,II,0.78,0.087,0.1,0.001,0.707,0.003,0.00099,0.001,0.00021,0.515,0.003,0,0.0000004
723,3.111312,101.816819,LANGAT,10/2/2018,2018,II,0.751,0.109,0.143,0.003,0.724,0.006,0.0012,0.001,0.00033,0.531,0.012,0.00003,4.255E-07
724,3.097682,101.805301,BATANG LABU,10/2/2018,2018,II,0.74,0.13,0.119,0.021,0.712,0.015,0.00137,0.001,0.00054,0.555,0.026,0.00002,4.681E-07
725,3.067411,101.775484,BATANG LABU,10/2/2018,2018,III,0.481,0.13,0.143,0.024,0.652,0.394,0.00656,0.005,0.00614,0.682,0.044,0.00036,1.6809E-06
726,3.068323,101.771511,SERING,10/2/2018,2018,III,0.361,0.087,0.119,0.015,0.604,0.457,0.00606,0.004,0.00568,0.591,0.033,0.00045,2.0638E-06
727,2.976173,101.701886,ANAK CHUAU,7/3/2018,2018,III,0.276,0.152,0.131,0.009,0.722,0.093,0.00739,0.006,0.00729,0.532,0.024,0.00003,0.001297872
728,2.970669,101.693313,CHUAU,7/3/2018,2018,III,0.388,0.152,0.131,0.014,0.691,0.012,0.00411,0.003,0.00086,0.489,0.057,0.00002,1.1702E-06
729,2.892928,101.696742,LIMAU MANIS,7/3/2018,2018,II,0.607,0.174,0.155,0.013,0.742,0.04,0.00528,0.004,0.00309,0.508,0.031,0.00001,8.936E-07
730,2.895012,101.68419,CHUAU,7/3/2018,2018,II,0.704,0.087,0.094,0.001,0.932,0.005,0.00316,0.002,0.00206,0.662,0.002,0,2.766E-07
731,2.87611,101.451639,LANGAT,3/4/2018,2018,III,0.189,0.065,0.082,0.131,0.549,0.058,0.66109,0.632,0.71586,0.72,0.096,0.00001,2.766E-07
732,2.815335,101.512831,LANGAT,3/4/2018,2018,IV,0.251,0.152,0.179,0.253,0.581,0.123,0.0154,0.012,0.01108,0.63,0.142,0.00003,3.064E-07
733,2.813262,101.642225,BATANG LABU,3/4/2018,2018,III,0.436,0.174,0.216,0.104,0.568,0.112,0.00858,0.006,0.00647,0.657,0.116,0.00003,4.681E-07
